Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,branch-b6g2,branch-ahcf,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: word,Spreadsheet: stim,Spreadsheet: step,Spreadsheet: list,Spreadsheet: left,Spreadsheet: right,Spreadsheet: progress,Spreadsheet: randomized_trial,Spreadsheet: type,Spreadsheet: condition,Store: target
1,1773236077250,11/03/2026 13:34:37,1773236077250,-5,11/03/2026 08:34:37,255858,16,task-pkec,,53641867,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1773236130408,11/03/2026 13:35:30,1773236130408,-5,11/03/2026 08:35:30,255858,16,task-pkec,,53641867,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},spreadsheet1_dt_t left,1,instructions,2AFC instructions,7fqomj,1,continue,,,52538.800000000745,52528.7,52538.800000000745,52538.800000000745,52528.7,52538.800000000745,1,0,0,,Click To Continue,Continue Button,1,object-242,instructions,,,,,t,d,,,,,
3,1773236130899,11/03/2026 13:35:30,1773236130899,-5,11/03/2026 08:35:30,255858,16,task-pkec,,53641867,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},spreadsheet1_dt_t left,1,practice,fixation,8ljn8d,1,timedOut,,,501.49999999925785,500.70000000000437,501.49999999925785,501.49999999925785,500.70000000000437,501.49999999925785,1,0,0,,Time Limit,screen,0,screen,practice,,dill_+110.wav,,,t,d,,5,,,
4,1773236130902,11/03/2026 13:35:30,1773236130902,-5,11/03/2026 08:35:30,255858,16,task-pkec,,53641867,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},spreadsheet1_dt_t left,1,practice,soundplay,d8epi7,2,info,audio started,,3.900000000743603,0,3.900000000743603,3.900000000743603,0,3.900000000743603,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_+110.wav,,,t,d,,5,,,
5,1773236131341,11/03/2026 13:35:31,1773236131341,-5,11/03/2026 08:35:31,255858,16,task-pkec,,53641867,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},spreadsheet1_dt_t left,1,practice,soundplay,d8epi7,2,info,audio finished,,442.69999999776337,433.09999999999854,442.69999999776337,442.69999999776337,433.09999999999854,442.69999999776337,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_+110.wav,,,t,d,,5,,,
6,1773236131341,11/03/2026 13:35:31,1773236131341,-5,11/03/2026 08:35:31,255858,16,task-pkec,,53641867,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},spreadsheet1_dt_t left,1,practice,soundplay,d8epi7,2,continue,,,443.09999999999854,433.09999999999854,443.09999999999854,443.09999999999854,433.09999999999854,443.09999999999854,1,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_+110.wav,,,t,d,,5,,,
7,1773236143613,11/03/2026 13:35:43,1773236143613,-5,11/03/2026 08:35:43,255858,16,task-pkec,,53641867,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},spreadsheet1_dt_t left,1,practice,2AFC,9mjind,3,response,t,,12281.89999999851,12277.5,12281.89999999851,12281.89999999851,12277.5,12281.89999999851,0,0,0,,Keyboard Response,Keyboard Response,2,object-222,practice,,dill_+110.wav,,,t,d,,5,,,
8,1773236144811,11/03/2026 13:35:44,1773236144811,-5,11/03/2026 08:35:44,255858,16,task-pkec,,53641867,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},spreadsheet1_dt_t left,1,practice,1.2 second pause,uqcoka,4,timedOut,,,1201.8999999985099,1201.1000000000058,1201.8999999985099,1201.8999999985099,1201.1000000000058,1201.8999999985099,1,0,0,,Time Limit,screen,0,screen,practice,,dill_+110.wav,,,t,d,,5,,,
9,1773236145310,11/03/2026 13:35:45,1773236145310,-5,11/03/2026 08:35:45,255858,16,task-pkec,,53641867,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},spreadsheet1_dt_t left,2,practice,fixation,8ljn8d,1,timedOut,,,500.29999999850406,500.09999999999127,500.29999999850406,500.29999999850406,500.09999999999127,500.29999999850406,1,0,0,,Time Limit,screen,0,screen,practice,,dip_+105.wav,,,t,d,,5,,,
10,1773236145312,11/03/2026 13:35:45,1773236145312,-5,11/03/2026 08:35:45,255858,16,task-pkec,,53641867,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Phonetic categorization,32,spreadsheet1_dt_t left,pass,,,$${overridespreadsheet},spreadsheet1_dt_t left,2,practice,soundplay,d8epi7,2,info,audio started,,2.3000000000029104,0,2.3000000000029104,2.3000000000029104,0,2.3000000000029104,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dip_+105.wav,,,t,d,,5,,,
