Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,branch-b6g2,branch-ahcf,Manipulation: Spreadsheet,Manipulation: correctAnswerCount,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
1,1773242628823,11/03/2026 15:23:48,1773242629457,-4,11/03/2026 11:23:49,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,
2,1773242632023,11/03/2026 15:23:52,1773242632603,-4,11/03/2026 11:23:52,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,1,Screen 5,Zone1,continue_button,2280.9000000953674,,,,0,0,,,,,,,Instructions,,,
3,1773242645793,11/03/2026 15:24:05,1773242646454,-4,11/03/2026 11:24:06,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,2,Screen 2,Zone1,content_web_audio,13834.200000047684,,,AUDIO PLAY REQUESTED,1,0,,,,,,,Instructions,,,
4,1773242654333,11/03/2026 15:24:14,1773242654877,-4,11/03/2026 11:24:14,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,2,Screen 2,script,force_advance,22281.7,,,,0,0,,,,,,,Instructions,,,
5,1773242660634,11/03/2026 15:24:20,1773242661311,-4,11/03/2026 11:24:21,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,6357.5,,,AUDIO PLAY REQUESTED,1,0,,,,,,,Instructions,,,
6,1773242666696,11/03/2026 15:24:26,1773242667375,-4,11/03/2026 11:24:27,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,12420.600000143051,,,,0,0,,,,,,,Instructions,,,
7,1773242667935,11/03/2026 15:24:27,1773242668612,-4,11/03/2026 11:24:28,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,4,Screen 6,Zone1,continue_button,1224.5,,,,0,0,,,,,,,Instructions,,,
8,1773242680849,11/03/2026 15:24:40,1773242681533,-4,11/03/2026 11:24:41,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,5,Screen 3,Zone1,continue_button,12884.199999809265,,,,0,0,,,,,,,Instructions,,,
9,1773242681823,11/03/2026 15:24:41,1773242682504,-4,11/03/2026 11:24:42,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,5,1,1,Screen 3,Zone3,timelimit_screen,999.2999999999956,,,,0,0,,,,1,,1,Trial,3,HugginsPitch_4_3.flac,1
10,1773242687913,11/03/2026 15:24:47,1773242688600,-4,11/03/2026 11:24:48,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,5,1,2,Screen 1,content,content_audio,6086.099999904633,,,,0,0,,,,,,1,Trial,3,HugginsPitch_4_3.flac,1
