Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: word,Spreadsheet: stim,Spreadsheet: step,Spreadsheet: list,Spreadsheet: left,Spreadsheet: right,Spreadsheet: progress,Spreadsheet: randomized_trial,Spreadsheet: type,Spreadsheet: condition,Spreadsheet: VOT,Spreadsheet: center,Spreadsheet: block,Spreadsheet: label,Spreadsheet: session,Spreadsheet: stage,Spreadsheet: progress_bar,Spreadsheet: word_display,Spreadsheet: trial_type,Spreadsheet: list_LSQ_variant,Spreadsheet: blockID,Spreadsheet: mean,Spreadsheet: sd,Spreadsheet: option_setup,Spreadsheet: token_category,Store: target
1,1784155693533,15/07/2026 22:48:13,1784155693533,-7,15/07/2026 15:48:13,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},$${overridespreadsheet},,,,,,info,BEGIN,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1784155701135,15/07/2026 22:48:21,1784155701135,-7,15/07/2026 15:48:21,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,instructions,Screen 3,cxtnmn,1,continue,,,7457.7,7450.499999999999,7457.7,7457.7,7450.499999999999,7457.7,1,0,0,,Click To Continue,Continue Button,1,object-399,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
3,1784155701142,15/07/2026 22:48:21,1784155701142,-7,15/07/2026 15:48:21,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,instructions,Spanish,7fqomj,2,info,audio started,,8.699999999998909,0,8.699999999998909,8.699999999998909,0,8.699999999998909,1,0,0,,Audio Clip,Audio,3,object-391,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
4,1784155715096,15/07/2026 22:48:35,1784155715096,-7,15/07/2026 15:48:35,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,instructions,Spanish,7fqomj,2,info,audio finished,,13968.999999952317,13966.3,13968.999999952317,13968.999999952317,13966.3,13968.999999952317,1,0,0,,Audio Clip,Audio,3,object-391,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
5,1784155715100,15/07/2026 22:48:35,1784155715100,-7,15/07/2026 15:48:35,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,instructions,Spanish,7fqomj,2,continue,,,13973.59999985695,13966.3,13973.59999985695,13973.59999985695,13966.3,13973.59999985695,1,0,0,,Audio Clip,Audio,3,object-391,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
6,1784155715993,15/07/2026 22:48:35,1784155715993,-7,15/07/2026 15:48:35,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,instructions,Screen 5,wwofte,3,continue,,,896.3999999999978,888,896.3999999999978,896.3999999999978,888,896.3999999999978,1,0,0,,Click To Continue,Continue Button,1,object-464,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
7,1784155720669,15/07/2026 22:48:40,1784155720669,-7,15/07/2026 15:48:40,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,instructions,practice_instruction,aghw4m,4,continue,,,4687.79999985695,4681.9000000000015,4687.79999985695,4687.79999985695,4681.9000000000015,4687.79999985695,1,0,0,,Click To Continue,Continue Button,1,object-369,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
8,1784155721164,15/07/2026 22:48:41,1784155721164,-7,15/07/2026 15:48:41,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,practice,fixation,8ljn8d,1,timedOut,,,500.89999985694885,499.90000000000146,500.89999985694885,500.89999985694885,499.90000000000146,500.89999985694885,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
9,1784155721663,15/07/2026 22:48:41,1784155721663,-7,15/07/2026 15:48:41,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,practice,show option,3my457,2,timedOut,,,500.1999999046311,499.8999999999978,500.1999999046311,500.1999999046311,499.8999999999978,500.1999999046311,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
10,1784155721672,15/07/2026 22:48:41,1784155721672,-7,15/07/2026 15:48:41,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,practice,soundplay,d8epi7,3,info,audio started,,8.299999999999272,0,8.299999999999272,8.299999999999272,0,8.299999999999272,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
11,1784155722061,15/07/2026 22:48:42,1784155722061,-7,15/07/2026 15:48:42,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,practice,soundplay,d8epi7,3,info,audio finished,,398.2999999046333,392.5,398.2999999046333,398.2999999046333,392.5,398.2999999046333,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
12,1784155722062,15/07/2026 22:48:42,1784155722062,-7,15/07/2026 15:48:42,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,practice,soundplay,d8epi7,3,continue,,,399.2999999046333,392.5,399.2999999046333,399.2999999046333,392.5,399.2999999046333,1,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
13,1784155722460,15/07/2026 22:48:42,1784155722460,-7,15/07/2026 15:48:42,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,practice,2AFC,9mjind,4,response,dill,,404.7000000000007,399.6000000000022,404.7000000000007,404.7000000000007,399.6000000000022,404.7000000000007,0,0,0,,Keyboard Response,Keyboard Response,2,object-222,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
14,1784155723655,15/07/2026 22:48:43,1784155723655,-7,15/07/2026 15:48:43,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,practice,1.2 second pause,uqcoka,5,timedOut,,,1198.9999998569474,1198.5999999999985,1198.9999998569474,1198.9999998569474,1198.5999999999985,1198.9999998569474,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
15,1784155724155,15/07/2026 22:48:44,1784155724155,-7,15/07/2026 15:48:44,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,2,practice,fixation,8ljn8d,1,timedOut,,,501.2999999523163,500.90000000000146,501.2999999523163,501.2999999523163,500.90000000000146,501.2999999523163,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
16,1784155724652,15/07/2026 22:48:44,1784155724652,-7,15/07/2026 15:48:44,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,2,practice,show option,3my457,2,timedOut,,,497.09999999999854,496.90000000000146,497.09999999999854,497.09999999999854,496.90000000000146,497.09999999999854,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
17,1784155724655,15/07/2026 22:48:44,1784155724655,-7,15/07/2026 15:48:44,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,2,practice,soundplay,d8epi7,3,info,audio started,,3.6999999999970896,0,3.6999999999970896,3.6999999999970896,0,3.6999999999970896,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
18,1784155724994,15/07/2026 22:48:44,1784155724994,-7,15/07/2026 15:48:44,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,2,practice,soundplay,d8epi7,3,info,audio finished,,342.4999999523134,341.5,342.4999999523134,342.4999999523134,341.5,342.4999999523134,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
19,1784155724995,15/07/2026 22:48:44,1784155724995,-7,15/07/2026 15:48:44,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,2,practice,soundplay,d8epi7,3,continue,,,343.3999998092622,341.5,343.3999998092622,343.3999998092622,341.5,343.3999998092622,1,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
20,1784155725373,15/07/2026 22:48:45,1784155725373,-7,15/07/2026 15:48:45,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,2,practice,2AFC,9mjind,4,response,dill,,380.3999998092622,374.59999999999854,380.3999998092622,380.3999998092622,374.59999999999854,380.3999998092622,0,0,0,,Keyboard Response,Keyboard Response,2,object-222,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
21,1784155726568,15/07/2026 22:48:46,1784155726568,-7,15/07/2026 15:48:46,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,2,practice,1.2 second pause,uqcoka,5,timedOut,,,1200.4999998569474,1199.7999999999956,1200.4999998569474,1200.4999998569474,1199.7999999999956,1200.4999998569474,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
22,1784155727067,15/07/2026 22:48:47,1784155727067,-7,15/07/2026 15:48:47,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,3,practice,fixation,8ljn8d,1,timedOut,,,500.0999999523192,499.70000000000437,500.0999999523192,500.0999999523192,499.70000000000437,500.0999999523192,1,0,0,,Time Limit,screen,0,screen,practice,,din_+130.wav,,,din,tin,,,,,,,,,,,,,,,,,,,,
23,1784155727568,15/07/2026 22:48:47,1784155727568,-7,15/07/2026 15:48:47,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,3,practice,show option,3my457,2,timedOut,,,501.2999998092637,501,501.2999998092637,501.2999998092637,501,501.2999998092637,1,0,0,,Time Limit,screen,0,screen,practice,,din_+130.wav,,,din,tin,,,,,,,,,,,,,,,,,,,,
24,1784155727571,15/07/2026 22:48:47,1784155727571,-7,15/07/2026 15:48:47,269901,13,task-pkec,repeat-7r7d#1,57237803,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,3,practice,soundplay,d8epi7,3,info,audio started,,2.7999998092636815,0,2.7999998092636815,2.7999998092636815,0,2.7999998092636815,0,0,0,,Audio Clip,Audio,1,object-217,practice,,din_+130.wav,,,din,tin,,,,,,,,,,,,,,,,,,,,
