Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: word,Spreadsheet: stim,Spreadsheet: step,Spreadsheet: list,Spreadsheet: left,Spreadsheet: right,Spreadsheet: progress,Spreadsheet: randomized_trial,Spreadsheet: type,Spreadsheet: condition,Spreadsheet: VOT,Spreadsheet: center,Spreadsheet: block,Spreadsheet: label,Spreadsheet: session,Spreadsheet: stage,Spreadsheet: progress_bar,Spreadsheet: word_display,Spreadsheet: trial_type,Spreadsheet: list_LSQ_variant,Spreadsheet: blockID,Spreadsheet: mean,Spreadsheet: sd,Spreadsheet: option_setup,Spreadsheet: token_category,Store: target
1,1784240202932,16/07/2026 22:16:42,1784240202932,-7,16/07/2026 15:16:42,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},$${overridespreadsheet},,,,,,info,BEGIN,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1784240219058,16/07/2026 22:16:59,1784240219058,-7,16/07/2026 15:16:59,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},full_List_8,1,instructions,Screen 3,cxtnmn,1,continue,,,14695.599999999995,14678.899999999998,14695.599999999995,14695.599999999995,14678.899999999998,14695.599999999995,1,0,0,,Click To Continue,Continue Button,1,object-399,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
3,1784240219063,16/07/2026 22:16:59,1784240219063,-7,16/07/2026 15:16:59,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},full_List_8,1,instructions,Spanish,7fqomj,2,info,audio started,,16.69999999999709,0,16.69999999999709,16.69999999999709,0,16.69999999999709,1,0,0,,Audio Clip,Audio,3,object-391,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
4,1784240233019,16/07/2026 22:17:13,1784240233019,-7,16/07/2026 15:17:13,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},full_List_8,1,instructions,Spanish,7fqomj,2,info,audio finished,,13992.999999994041,13978.300000000003,13992.999999994041,13992.999999994041,13978.300000000003,13992.999999994041,1,0,0,,Audio Clip,Audio,3,object-391,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
5,1784240233027,16/07/2026 22:17:13,1784240233027,-7,16/07/2026 15:17:13,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},full_List_8,1,instructions,Spanish,7fqomj,2,continue,,,13994.900000000001,13978.300000000003,13994.900000000001,13994.900000000001,13978.300000000003,13994.900000000001,1,0,0,,Audio Clip,Audio,3,object-391,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
6,1784240235195,16/07/2026 22:17:15,1784240235195,-7,16/07/2026 15:17:15,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},full_List_8,1,instructions,Screen 5,wwofte,3,continue,,,2190.500000005959,2185.199999999997,2190.500000005959,2190.500000005959,2185.199999999997,2190.500000005959,1,0,0,,Click To Continue,Continue Button,1,object-464,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
7,1784240248606,16/07/2026 22:17:28,1784240248606,-7,16/07/2026 15:17:28,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},full_List_8,1,instructions,practice_instruction,aghw4m,4,continue,,,13417.100000017883,13411.200000000004,13417.100000017883,13417.100000017883,13411.200000000004,13417.100000017883,1,0,0,,Click To Continue,Continue Button,1,object-369,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
8,1784240249101,16/07/2026 22:17:29,1784240249101,-7,16/07/2026 15:17:29,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},full_List_8,1,practice,fixation,8ljn8d,1,timedOut,,,500.9000000178785,500.5,500.9000000178785,500.9000000178785,500.5,500.9000000178785,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
9,1784240249601,16/07/2026 22:17:29,1784240249601,-7,16/07/2026 15:17:29,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},full_List_8,1,practice,show option,3my457,2,timedOut,,,500.60000000595755,500.29999999999563,500.60000000595755,500.60000000595755,500.29999999999563,500.60000000595755,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
10,1784240249608,16/07/2026 22:17:29,1784240249608,-7,16/07/2026 15:17:29,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},full_List_8,1,practice,soundplay,d8epi7,3,info,audio started,,6.80000000596192,0,6.80000000596192,6.80000000596192,0,6.80000000596192,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
11,1784240249997,16/07/2026 22:17:29,1784240249997,-7,16/07/2026 15:17:29,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},full_List_8,1,practice,soundplay,d8epi7,3,info,audio finished,,395.8000000059619,383.8000000000029,395.8000000059619,395.8000000059619,383.8000000000029,395.8000000059619,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
12,1784240249997,16/07/2026 22:17:29,1784240249997,-7,16/07/2026 15:17:29,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},full_List_8,1,practice,soundplay,d8epi7,3,continue,,,396.3000000059619,383.8000000000029,396.3000000059619,396.3000000059619,383.8000000000029,396.3000000059619,1,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
13,1784240252849,16/07/2026 22:17:32,1784240252849,-7,16/07/2026 15:17:32,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},full_List_8,1,practice,2AFC,9mjind,4,response,dill,,2864.0999999999985,2851.2999999999956,2864.0999999999985,2864.0999999999985,2851.2999999999956,2864.0999999999985,0,0,0,,Keyboard Response,Keyboard Response,2,object-222,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
14,1784240254039,16/07/2026 22:17:34,1784240254039,-7,16/07/2026 15:17:34,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},full_List_8,1,practice,1.2 second pause,uqcoka,5,timedOut,,,1202.5000000178843,1202,1202.5000000178843,1202.5000000178843,1202,1202.5000000178843,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
15,1784240254539,16/07/2026 22:17:34,1784240254539,-7,16/07/2026 15:17:34,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},full_List_8,2,practice,fixation,8ljn8d,1,timedOut,,,501.2000000059634,500.5,501.2000000059634,501.2000000059634,500.5,501.2000000059634,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
16,1784240255039,16/07/2026 22:17:35,1784240255039,-7,16/07/2026 15:17:35,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},full_List_8,2,practice,show option,3my457,2,timedOut,,,500.8000000000029,500.40000000000146,500.8000000000029,500.8000000000029,500.40000000000146,500.8000000000029,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
17,1784240255045,16/07/2026 22:17:35,1784240255045,-7,16/07/2026 15:17:35,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},full_List_8,2,practice,soundplay,d8epi7,3,info,audio started,,5.999999994040991,0,5.999999994040991,5.999999994040991,0,5.999999994040991,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
18,1784240255385,16/07/2026 22:17:35,1784240255385,-7,16/07/2026 15:17:35,269901,13,task-pkec,repeat-7r7d#1,57261690,,16368032,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,2560x1440,2560x1440,,,0,Phonetic categorization,25,full_List_8,pass,$${overridespreadsheet},full_List_8,2,practice,soundplay,d8epi7,3,info,audio finished,,345.999999994041,333.59999999999854,345.999999994041,345.999999994041,333.59999999999854,345.999999994041,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-100.wav,,,dill,din,,,,,,,,,,,,,,,,,,,,
