Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: word,Spreadsheet: stim,Spreadsheet: step,Spreadsheet: list,Spreadsheet: left,Spreadsheet: right,Spreadsheet: progress,Spreadsheet: randomized_trial,Spreadsheet: type,Spreadsheet: condition,Spreadsheet: VOT,Spreadsheet: center,Spreadsheet: block,Spreadsheet: label,Spreadsheet: session,Spreadsheet: stage,Spreadsheet: progress_bar,Spreadsheet: word_display,Spreadsheet: trial_type,Spreadsheet: list_LSQ_variant,Spreadsheet: blockID,Spreadsheet: mean,Spreadsheet: sd,Spreadsheet: option_setup,Spreadsheet: token_category,Store: target
1,1784301632108,17/07/2026 15:20:32,1784301632108,-7,17/07/2026 08:20:32,269901,13,task-pkec,repeat-7r7d#1,57278623,,16371711,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1470x956,1470x777,,,0,Phonetic categorization,25,full_List_1,pass,$${overridespreadsheet},$${overridespreadsheet},,,,,,info,BEGIN,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1784301637147,17/07/2026 15:20:37,1784301637147,-7,17/07/2026 08:20:37,269901,13,task-pkec,repeat-7r7d#1,57278623,,16371711,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1470x956,1470x777,,,0,Phonetic categorization,25,full_List_1,pass,$${overridespreadsheet},full_List_1,1,instructions,Screen 3,cxtnmn,1,continue,,,4127.500000047684,4116.7,4127.500000047684,4127.500000047684,4116.7,4127.500000047684,1,0,0,,Click To Continue,Continue Button,1,object-399,instructions,,,,,d,t,,,,,,,,,,,,,,,,,,,,
3,1784301637154,17/07/2026 15:20:37,1784301637154,-7,17/07/2026 08:20:37,269901,13,task-pkec,repeat-7r7d#1,57278623,,16371711,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1470x956,1470x777,,,0,Phonetic categorization,25,full_List_1,pass,$${overridespreadsheet},full_List_1,1,instructions,Spanish,7fqomj,2,info,audio started,,16.600000000000364,0,16.600000000000364,16.600000000000364,0,16.600000000000364,1,0,0,,Audio Clip,Audio,3,object-391,instructions,,,,,d,t,,,,,,,,,,,,,,,,,,,,
4,1784301651107,17/07/2026 15:20:51,1784301651107,-7,17/07/2026 08:20:51,269901,13,task-pkec,repeat-7r7d#1,57278623,,16371711,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1470x956,1470x777,,,0,Phonetic categorization,25,full_List_1,pass,$${overridespreadsheet},full_List_1,1,instructions,Spanish,7fqomj,2,info,audio finished,,13970.800000047684,13966.6,13970.800000047684,13970.800000047684,13966.6,13970.800000047684,1,0,0,,Audio Clip,Audio,3,object-391,instructions,,,,,d,t,,,,,,,,,,,,,,,,,,,,
5,1784301651110,17/07/2026 15:20:51,1784301651110,-7,17/07/2026 08:20:51,269901,13,task-pkec,repeat-7r7d#1,57278623,,16371711,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1470x956,1470x777,,,0,Phonetic categorization,25,full_List_1,pass,$${overridespreadsheet},full_List_1,1,instructions,Spanish,7fqomj,2,continue,,,13973.800000047684,13966.6,13973.800000047684,13973.800000047684,13966.6,13973.800000047684,1,0,0,,Audio Clip,Audio,3,object-391,instructions,,,,,d,t,,,,,,,,,,,,,,,,,,,,
6,1784301654228,17/07/2026 15:20:54,1784301654228,-7,17/07/2026 08:20:54,269901,13,task-pkec,repeat-7r7d#1,57278623,,16371711,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1470x956,1470x777,,,0,Phonetic categorization,25,full_List_1,pass,$${overridespreadsheet},full_List_1,1,instructions,Screen 5,wwofte,3,continue,,,3125.800000011921,3116.5999999999985,3125.800000011921,3125.800000011921,3116.5999999999985,3125.800000011921,1,0,0,,Click To Continue,Continue Button,1,object-464,instructions,,,,,d,t,,,,,,,,,,,,,,,,,,,,
7,1784301676413,17/07/2026 15:21:16,1784301676413,-7,17/07/2026 08:21:16,269901,13,task-pkec,repeat-7r7d#1,57278623,,16371711,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1470x956,1470x777,,,0,Phonetic categorization,25,full_List_1,pass,$${overridespreadsheet},full_List_1,1,instructions,practice_instruction,aghw4m,4,continue,,,22193.300000035764,22182.9,22193.300000035764,22193.300000035764,22182.9,22193.300000035764,1,0,0,,Click To Continue,Continue Button,1,object-369,instructions,,,,,d,t,,,,,,,,,,,,,,,,,,,,
8,1784301676903,17/07/2026 15:21:16,1784301676903,-7,17/07/2026 08:21:16,269901,13,task-pkec,repeat-7r7d#1,57278623,,16371711,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1470x956,1470x777,,,0,Phonetic categorization,25,full_List_1,pass,$${overridespreadsheet},full_List_1,1,practice,fixation,8ljn8d,1,timedOut,,,500.80000001192093,500.09999999999854,500.80000001192093,500.80000001192093,500.09999999999854,500.80000001192093,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
9,1784301677403,17/07/2026 15:21:17,1784301677403,-7,17/07/2026 08:21:17,269901,13,task-pkec,repeat-7r7d#1,57278623,,16371711,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1470x956,1470x777,,,0,Phonetic categorization,25,full_List_1,pass,$${overridespreadsheet},full_List_1,1,practice,show option,3my457,2,timedOut,,,500.40000000000146,500,500.40000000000146,500.40000000000146,500,500.40000000000146,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
10,1784301677409,17/07/2026 15:21:17,1784301677409,-7,17/07/2026 08:21:17,269901,13,task-pkec,repeat-7r7d#1,57278623,,16371711,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1470x956,1470x777,,,0,Phonetic categorization,25,full_List_1,pass,$${overridespreadsheet},full_List_1,1,practice,soundplay,d8epi7,3,info,audio started,,6.000000023843313,0,6.000000023843313,6.000000023843313,0,6.000000023843313,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
11,1784301677798,17/07/2026 15:21:17,1784301677798,-7,17/07/2026 08:21:17,269901,13,task-pkec,repeat-7r7d#1,57278623,,16371711,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1470x956,1470x777,,,0,Phonetic categorization,25,full_List_1,pass,$${overridespreadsheet},full_List_1,1,practice,soundplay,d8epi7,3,info,audio finished,,395.30000003576424,383.40000000000146,395.30000003576424,395.30000003576424,383.40000000000146,395.30000003576424,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
