Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: word,Spreadsheet: stim,Spreadsheet: step,Spreadsheet: list,Spreadsheet: left,Spreadsheet: right,Spreadsheet: progress,Spreadsheet: randomized_trial,Spreadsheet: type,Spreadsheet: condition,Spreadsheet: VOT,Spreadsheet: center,Spreadsheet: block,Spreadsheet: label,Spreadsheet: session,Spreadsheet: stage,Spreadsheet: progress_bar,Spreadsheet: word_display,Spreadsheet: trial_type,Spreadsheet: list_LSQ_variant,Spreadsheet: blockID,Spreadsheet: mean,Spreadsheet: sd,Spreadsheet: option_setup,Spreadsheet: token_category,Store: target
1,1784257187385,17/07/2026 02:59:47,1784257187385,-7,16/07/2026 19:59:47,269901,13,task-pkec,repeat-7r7d#1,57263139,,16368478,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 152.0,1280x720,1280x720,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},$${overridespreadsheet},,,,,,info,BEGIN,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1784257198443,17/07/2026 02:59:58,1784257198443,-7,16/07/2026 19:59:58,269901,13,task-pkec,repeat-7r7d#1,57263139,,16368478,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 152.0,1280x720,1280x720,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,instructions,Screen 3,cxtnmn,1,continue,,,9514.36,9498.84,9514.36,9514.36,9498.84,9514.36,1,0,0,,Click To Continue,Continue Button,1,object-399,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
3,1784257198450,17/07/2026 02:59:58,1784257198450,-7,16/07/2026 19:59:58,269901,13,task-pkec,repeat-7r7d#1,57263139,,16368478,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 152.0,1280x720,1280x720,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,instructions,Spanish,7fqomj,2,info,audio started,,16.68000000000029,0,16.68000000000029,16.68000000000029,0,16.68000000000029,1,0,0,,Audio Clip,Audio,3,object-391,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
4,1784257213632,17/07/2026 03:00:13,1784257213632,-7,16/07/2026 20:00:13,269901,13,task-pkec,repeat-7r7d#1,57263139,,16368478,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 152.0,1280x720,1280x720,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,instructions,Spanish,7fqomj,2,info,audio finished,,15203.52,15198.2,15203.52,15203.52,15198.2,15203.52,1,0,0,,Audio Clip,Audio,3,object-391,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
5,1784257213632,17/07/2026 03:00:13,1784257213632,-7,16/07/2026 20:00:13,269901,13,task-pkec,repeat-7r7d#1,57263139,,16368478,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 152.0,1280x720,1280x720,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,instructions,Spanish,7fqomj,2,continue,,,15204.52,15198.2,15204.52,15204.52,15198.2,15204.52,1,0,0,,Audio Clip,Audio,3,object-391,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
6,1784257214592,17/07/2026 03:00:14,1784257214592,-7,16/07/2026 20:00:14,269901,13,task-pkec,repeat-7r7d#1,57263139,,16368478,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 152.0,1280x720,1280x720,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,instructions,Screen 5,wwofte,3,continue,,,965.3199999999997,949.6200000000026,965.3199999999997,965.3199999999997,949.6200000000026,965.3199999999997,1,0,0,,Click To Continue,Continue Button,1,object-464,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
7,1784257226363,17/07/2026 03:00:26,1784257226363,-7,16/07/2026 20:00:26,269901,13,task-pkec,repeat-7r7d#1,57263139,,16368478,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 152.0,1280x720,1280x720,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,instructions,practice_instruction,aghw4m,4,continue,,,11787.699999999997,11781.82,11787.699999999997,11787.699999999997,11781.82,11787.699999999997,1,0,0,,Click To Continue,Continue Button,1,object-369,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
8,1784257226858,17/07/2026 03:00:26,1784257226858,-7,16/07/2026 20:00:26,269901,13,task-pkec,repeat-7r7d#1,57263139,,16368478,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 152.0,1280x720,1280x720,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,practice,fixation,8ljn8d,1,timedOut,,,500.8799999999974,499.93999999999505,500.8799999999974,500.8799999999974,499.93999999999505,500.8799999999974,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
9,1784257227358,17/07/2026 03:00:27,1784257227358,-7,16/07/2026 20:00:27,269901,13,task-pkec,repeat-7r7d#1,57263139,,16368478,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 152.0,1280x720,1280x720,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,practice,show option,3my457,2,timedOut,,,499.9400000000023,499.92000000000553,499.9400000000023,499.9400000000023,499.92000000000553,499.9400000000023,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
10,1784257227361,17/07/2026 03:00:27,1784257227361,-7,16/07/2026 20:00:27,269901,13,task-pkec,repeat-7r7d#1,57263139,,16368478,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 152.0,1280x720,1280x720,,,0,Phonetic categorization,25,full_List_6,pass,$${overridespreadsheet},full_List_6,1,practice,soundplay,d8epi7,3,info,audio started,,4.019999999996799,0,4.019999999996799,4.019999999996799,0,4.019999999996799,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
