Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,branch-b6g2,branch-ahcf,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: word,Spreadsheet: stim,Spreadsheet: step,Spreadsheet: list,Spreadsheet: left,Spreadsheet: right,Spreadsheet: progress,Spreadsheet: randomized_trial,Spreadsheet: type,Spreadsheet: condition,Store: target,Manipulation: correctAnswerCount,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Attempt,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,ANSWER,stimuli,ShowProgressBar
1,1773235967724,11/03/2026 13:32:47,1773235967386,-5,11/03/2026 08:32:47,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,correctAnswerCount,,BEGIN TASK,,,,,,,,,,,,,,,,,
2,1773235970577,11/03/2026 13:32:50,1773235970286,-5,11/03/2026 08:32:50,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Instructions,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,1,1,1,Screen 5,Zone1,continue_button,2495.800000000745,,,0,,,,,,,,,
3,1773235971705,11/03/2026 13:32:51,1773235971401,-5,11/03/2026 08:32:51,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Instructions,,,,,AUDIO PLAY REQUESTED,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,1,1,2,Screen 2,Zone1,content_web_audio,1108.8999999985099,,,1,,,,,,,,,
4,1773235977112,11/03/2026 13:32:57,1773235976802,-5,11/03/2026 08:32:56,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Instructions,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,1,1,2,Screen 2,script,force_advance,6521.8,,,0,,,,,,,,,
5,1773235988610,11/03/2026 13:33:08,1773235988309,-5,11/03/2026 08:33:08,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Instructions,,,,,AUDIO PLAY REQUESTED,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,1,1,3,Screen 1,Zone2,content_web_audio,11500.89999999851,,,1,,,,,,,,,
6,1773235994674,11/03/2026 13:33:14,1773235994371,-5,11/03/2026 08:33:14,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Instructions,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,1,1,3,Screen 1,Zone2,content_web_audio,17563.39999999851,,,0,,,,,,,,,
7,1773235995979,11/03/2026 13:33:15,1773235995678,-5,11/03/2026 08:33:15,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Instructions,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,1,1,4,Screen 6,Zone1,continue_button,1302,,,0,,,,,,,,,
8,1773236005236,11/03/2026 13:33:25,1773236004945,-5,11/03/2026 08:33:24,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Instructions,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,1,1,5,Screen 3,Zone1,continue_button,9261.60000000149,,,0,,,,,,,,,
9,1773236006255,11/03/2026 13:33:26,1773236005942,-5,11/03/2026 08:33:25,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,7,1,1,Screen 3,Zone3,timelimit_screen,1000.8999999999942,,,0,,,,1,,1,2,HugginsPitch_6_2.flac,1
10,1773236012312,11/03/2026 13:33:32,1773236012019,-5,11/03/2026 08:33:32,255858,16,task-r1nu,,53641805,69829bc1224b28f0538900d5,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,Spreadsheet1,,Trial,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,correctAnswerCount,7,1,2,Screen 1,content,content_audio,6071.199999999255,,,0,,,,,,1,2,HugginsPitch_6_2.flac,1
