Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: word,Spreadsheet: stim,Spreadsheet: step,Spreadsheet: list,Spreadsheet: left,Spreadsheet: right,Spreadsheet: progress,Spreadsheet: randomized_trial,Spreadsheet: type,Spreadsheet: condition,Spreadsheet: VOT,Spreadsheet: center,Spreadsheet: block,Spreadsheet: label,Spreadsheet: session,Spreadsheet: stage,Spreadsheet: progress_bar,Spreadsheet: word_display,Spreadsheet: trial_type,Spreadsheet: list_LSQ_variant,Spreadsheet: blockID,Spreadsheet: mean,Spreadsheet: sd,Spreadsheet: option_setup,Spreadsheet: token_category,Store: target
1,1784152800757,15/07/2026 22:00:00,1784152800757,-7,15/07/2026 15:00:00,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},$${overridespreadsheet},,,,,,info,BEGIN,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1784152813349,15/07/2026 22:00:13,1784152813349,-7,15/07/2026 15:00:13,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,1,instructions,Screen 3,cxtnmn,1,continue,,,8696.16,8683.34,8696.16,8696.16,8683.34,8696.16,1,0,0,,Click To Continue,Continue Button,1,object-399,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
3,1784152813367,15/07/2026 22:00:13,1784152813367,-7,15/07/2026 15:00:13,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,1,instructions,Spanish,7fqomj,2,info,audio started,,16.68000000000029,0,16.68000000000029,16.68000000000029,0,16.68000000000029,1,0,0,,Audio Clip,Audio,3,object-391,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
4,1784152827473,15/07/2026 22:00:27,1784152827473,-7,15/07/2026 15:00:27,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,1,instructions,Spanish,7fqomj,2,info,audio finished,,14133.319999999992,14116.659999999996,14133.319999999992,14133.319999999992,14116.659999999996,14133.319999999992,1,0,0,,Audio Clip,Audio,3,object-391,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
5,1784152827476,15/07/2026 22:00:27,1784152827476,-7,15/07/2026 15:00:27,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,1,instructions,Spanish,7fqomj,2,continue,,,14133.319999999992,14116.659999999996,14133.319999999992,14133.319999999992,14116.659999999996,14133.319999999992,1,0,0,,Audio Clip,Audio,3,object-391,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
6,1784152828679,15/07/2026 22:00:28,1784152828679,-7,15/07/2026 15:00:28,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,1,instructions,Screen 5,wwofte,3,continue,,,1228.1600000000035,1216.6600000000035,1228.1600000000035,1228.1600000000035,1216.6600000000035,1228.1600000000035,1,0,0,,Click To Continue,Continue Button,1,object-464,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
7,1784152836496,15/07/2026 22:00:36,1784152836496,-7,15/07/2026 15:00:36,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,1,instructions,practice_instruction,aghw4m,4,continue,,,7816.6600000000035,7800,7816.6600000000035,7816.6600000000035,7800,7816.6600000000035,1,0,0,,Click To Continue,Continue Button,1,object-369,instructions,,,,,t,d,,,,,,,,,,,,,,,,,,,,
8,1784152836971,15/07/2026 22:00:36,1784152836971,-7,15/07/2026 15:00:36,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,1,practice,fixation,8ljn8d,1,timedOut,,,502.5,500,502.5,502.5,500,502.5,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
9,1784152837472,15/07/2026 22:00:37,1784152837472,-7,15/07/2026 15:00:37,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,1,practice,show option,3my457,2,timedOut,,,504.5,500,504.5,504.5,500,504.5,1,0,0,,Time Limit,screen,0,screen,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
10,1784152837479,15/07/2026 22:00:37,1784152837479,-7,15/07/2026 15:00:37,269901,13,task-pkec,repeat-7r7d#1,57237405,,16361732,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 150.0,1470x956,1470x810,,,0,Phonetic categorization,25,full_List_10,pass,$${overridespreadsheet},full_List_10,1,practice,soundplay,d8epi7,3,info,audio started,,11.5,0,11.5,11.5,0,11.5,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_-50.wav,,,dill,till,,,,,,,,,,,,,,,,,,,,
