Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Context,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1784156440305,15/07/2026 23:00:40,1784156440305,-7,15/07/2026 16:00:40,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,,,,,info,,BEGIN,,,,,,
2,1784156470062,15/07/2026 23:01:10,1784156470062,-7,15/07/2026 16:01:10,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,,continue,,,,,,screen,0,screen
3,1784156470064,15/07/2026 23:01:10,1784156470064,-7,15/07/2026 16:01:10,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,Age (e.g. 18),action,value,29,,,,Number Entry,2,object-4
4,1784156470064,15/07/2026 23:01:10,1784156470064,-7,15/07/2026 16:01:10,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,Gender,action,value,Female,,,Male|Female|Non-binary,Multiple Choice,3,object-5
5,1784156470064,15/07/2026 23:01:10,1784156470064,-7,15/07/2026 16:01:10,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,Gender,action,quantised,2,,,Male|Female|Non-binary,Multiple Choice,3,object-5
6,1784156470065,15/07/2026 23:01:10,1784156470065,-7,15/07/2026 16:01:10,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,Race/Ethnicity (choose all that apply),action,American Indian or Alaska Native,0,,,American Indian or Alaska Native|Asian|Black or African American|Hispanic or Latino|Native Hawaiian or Other Pacific Islander|White,Multiple Choice,4,object-6
7,1784156470065,15/07/2026 23:01:10,1784156470065,-7,15/07/2026 16:01:10,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,Race/Ethnicity (choose all that apply),action,Asian,1,,,American Indian or Alaska Native|Asian|Black or African American|Hispanic or Latino|Native Hawaiian or Other Pacific Islander|White,Multiple Choice,4,object-6
8,1784156470065,15/07/2026 23:01:10,1784156470065,-7,15/07/2026 16:01:10,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,Race/Ethnicity (choose all that apply),action,Black or African American,0,,,American Indian or Alaska Native|Asian|Black or African American|Hispanic or Latino|Native Hawaiian or Other Pacific Islander|White,Multiple Choice,4,object-6
9,1784156470065,15/07/2026 23:01:10,1784156470065,-7,15/07/2026 16:01:10,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,Race/Ethnicity (choose all that apply),action,Hispanic or Latino,0,,,American Indian or Alaska Native|Asian|Black or African American|Hispanic or Latino|Native Hawaiian or Other Pacific Islander|White,Multiple Choice,4,object-6
10,1784156470066,15/07/2026 23:01:10,1784156470066,-7,15/07/2026 16:01:10,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,Race/Ethnicity (choose all that apply),action,Native Hawaiian or Other Pacific Islander,0,,,American Indian or Alaska Native|Asian|Black or African American|Hispanic or Latino|Native Hawaiian or Other Pacific Islander|White,Multiple Choice,4,object-6
