Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
1,1784155601450,15/07/2026 22:46:41,1784155601308,-7,15/07/2026 15:46:41,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1784155602584,15/07/2026 22:46:42,1784155602501,-7,15/07/2026 15:46:42,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,1,1,1,Screen 5,Zone1,continue_button,1115.4000000953674,,,,,0,1,0,,,,,,Instructions,,,
3,1784155606644,15/07/2026 22:46:46,1784155606536,-7,15/07/2026 15:46:46,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,1,1,2,Screen 7,Zone2,continue_button,4029.399999856949,,,,,0,1,0,,,,,,Instructions,,,
4,1784155607817,15/07/2026 22:46:47,1784155607732,-7,15/07/2026 15:46:47,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,1,1,3,Screen 8,Zone1,content_web_audio,1190.1000001430511,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Instructions,,,
5,1784155611273,15/07/2026 22:46:51,1784155611156,-7,15/07/2026 15:46:51,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,1,1,3,Screen 8,Zone1,content_web_audio,4613.600000143051,,,,,0,1,0,,,,,,Instructions,,,
6,1784155611947,15/07/2026 22:46:51,1784155611866,-7,15/07/2026 15:46:51,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,1,1,4,Screen 2,Zone2,continue_button,700.9000000953674,,,,,0,1,0,,,,,,Instructions,,,
7,1784155612874,15/07/2026 22:46:52,1784155612775,-7,15/07/2026 15:46:52,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,1,1,5,Screen 1,Zone2,continue_button,905.7999999523163,,,,,0,1,0,,,,,,Instructions,,,
8,1784155613919,15/07/2026 22:46:53,1784155613825,-7,15/07/2026 15:46:53,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,1,1,6,Screen 4,Zone3,content_web_audio,1014.4000000953674,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Instructions,,,
9,1784155621669,15/07/2026 22:47:01,1784155621568,-7,15/07/2026 15:47:01,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,1,1,6,Screen 4,Zone2,continue_button,8757.100000143051,,,,,0,1,0,,,,,,Instructions,,,
10,1784155622830,15/07/2026 22:47:02,1784155622748,-7,15/07/2026 15:47:02,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,1,1,7,Screen 6,Zone2,content_web_audio,1176.6999998092651,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Instructions,,,
