Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,branch-b6g2,branch-ahcf,Manipulation: Spreadsheet,Manipulation: correctAnswerCount,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
1,1773242752254,11/03/2026 15:25:52,1773242752885,-4,11/03/2026 11:25:52,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,
2,1773242760043,11/03/2026 15:26:00,1773242760691,-4,11/03/2026 11:26:00,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,1,Screen 5,Zone1,continue_button,7631.700000047684,,,,0,0,,,,,,,Instructions,,,
3,1773242762637,11/03/2026 15:26:02,1773242763300,-4,11/03/2026 11:26:03,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,2,Screen 2,Zone1,content_web_audio,2600.9000000953674,,,AUDIO PLAY REQUESTED,1,0,,,,,,,Instructions,,,
4,1773242767333,11/03/2026 15:26:07,1773242767848,-4,11/03/2026 11:26:07,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,2,Screen 2,script,force_advance,7160.799999999999,,,,0,0,,,,,,,Instructions,,,
5,1773242773739,11/03/2026 15:26:13,1773242774365,-4,11/03/2026 11:26:14,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,6496.700000047684,,,AUDIO PLAY REQUESTED,1,0,,,,,,,Instructions,,,
6,1773242779751,11/03/2026 15:26:19,1773242780428,-4,11/03/2026 11:26:20,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,12559,,,,0,0,,,,,,,Instructions,,,
7,1773242806132,11/03/2026 15:26:46,1773242806821,-4,11/03/2026 11:26:46,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,4,Screen 6,Zone1,continue_button,26383.700000047684,,,,0,0,,,,,,,Instructions,,,
8,1773242827338,11/03/2026 15:27:07,1773242828010,-4,11/03/2026 11:27:08,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,5,Screen 3,Zone1,continue_button,21185.400000095367,,,,0,0,,,,,,,Instructions,,,
9,1773242828318,11/03/2026 15:27:08,1773242829000,-4,11/03/2026 11:27:09,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,10,1,1,Screen 3,Zone3,timelimit_screen,999.0999999999913,,,,0,0,,,,1,,1,Trial,2,HugginsPitch_9_2.flac,1
10,1773242839336,11/03/2026 15:27:19,1773242839680,-4,11/03/2026 11:27:19,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,10,1,2,Screen 1,content,content_audio,10677.5,,,,0,0,,,,,,1,Trial,2,HugginsPitch_9_2.flac,1
