Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,branch-b6g2,branch-ahcf,Manipulation: Spreadsheet,Manipulation: correctAnswerCount,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
1,1773242902893,11/03/2026 15:28:22,1773242903393,-4,11/03/2026 11:28:23,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,
2,1773242904301,11/03/2026 15:28:24,1773242904963,-4,11/03/2026 11:28:24,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,1,Screen 5,Zone1,continue_button,1501.3999998569489,,,,0,0,,,,,,,Instructions,,,
3,1773242905687,11/03/2026 15:28:25,1773242906355,-4,11/03/2026 11:28:26,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,2,Screen 2,Zone1,content_web_audio,1388.3999998569489,,,AUDIO PLAY REQUESTED,1,0,,,,,,,Instructions,,,
4,1773242910132,11/03/2026 15:28:30,1773242910792,-4,11/03/2026 11:28:30,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,2,Screen 2,script,force_advance,5828.5,,,,0,0,,,,,,,Instructions,,,
5,1773242912935,11/03/2026 15:28:32,1773242913610,-4,11/03/2026 11:28:33,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,2812.5,,,AUDIO PLAY REQUESTED,1,0,,,,,,,Instructions,,,
6,1773242918978,11/03/2026 15:28:38,1773242919671,-4,11/03/2026 11:28:39,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,8873.400000095367,,,,0,0,,,,,,,Instructions,,,
7,1773242920467,11/03/2026 15:28:40,1773242921157,-4,11/03/2026 11:28:41,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,4,Screen 6,Zone1,continue_button,1482.1999998092651,,,,0,0,,,,,,,Instructions,,,
8,1773242930657,11/03/2026 15:28:50,1773242931056,-4,11/03/2026 11:28:51,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,5,Screen 3,Zone1,continue_button,9894.800000190735,,,,0,0,,,,,,,Instructions,,,
9,1773242931356,11/03/2026 15:28:51,1773242932049,-4,11/03/2026 11:28:52,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,2,1,1,Screen 3,Zone3,timelimit_screen,999.3000000000029,,,,0,0,,,,1,,1,Trial,1,HugginsPitch_1_1.flac,1
10,1773242937438,11/03/2026 15:28:57,1773242938129,-4,11/03/2026 11:28:58,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,2,1,2,Screen 1,content,content_audio,6077,,,,0,0,,,,,,1,Trial,1,HugginsPitch_1_1.flac,1
