Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,branch-b6g2,branch-ahcf,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: word,Spreadsheet: stim,Spreadsheet: step,Spreadsheet: list,Spreadsheet: left,Spreadsheet: right,Spreadsheet: progress,Spreadsheet: randomized_trial,Spreadsheet: type,Spreadsheet: condition,Store: target
1,1773243001678,11/03/2026 15:30:01,1773243001678,-4,11/03/2026 11:30:01,255858,16,task-pkec,,53648284,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Phonetic categorization,32,spreadsheet1_dt_d left,fail,fail,pass,$${overridespreadsheet},,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1773243037749,11/03/2026 15:30:37,1773243037749,-4,11/03/2026 11:30:37,255858,16,task-pkec,,53648284,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Phonetic categorization,32,spreadsheet1_dt_d left,fail,fail,pass,$${overridespreadsheet},spreadsheet1_dt_d left,1,instructions,2AFC instructions,7fqomj,1,continue,,,35557.799999809264,35554.1,35557.799999809264,35557.799999809264,35554.1,35557.799999809264,1,0,0,,Click To Continue,Continue Button,1,object-242,instructions,,,,,d,t,,,,,
3,1773243038245,11/03/2026 15:30:38,1773243038245,-4,11/03/2026 11:30:38,255858,16,task-pkec,,53648284,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Phonetic categorization,32,spreadsheet1_dt_d left,fail,fail,pass,$${overridespreadsheet},spreadsheet1_dt_d left,1,practice,fixation,8ljn8d,1,timedOut,,,500.09999990463257,499.59999999999854,500.09999990463257,500.09999990463257,499.59999999999854,500.09999990463257,1,0,0,,Time Limit,screen,0,screen,practice,,din_-15.wav,,,d,t,,5,,,
4,1773243038247,11/03/2026 15:30:38,1773243038247,-4,11/03/2026 11:30:38,255858,16,task-pkec,,53648284,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Phonetic categorization,32,spreadsheet1_dt_d left,fail,fail,pass,$${overridespreadsheet},spreadsheet1_dt_d left,1,practice,soundplay,d8epi7,2,info,audio started,,2.900000000001455,0,2.900000000001455,2.900000000001455,0,2.900000000001455,0,0,0,,Audio Clip,Audio,1,object-217,practice,,din_-15.wav,,,d,t,,5,,,
5,1773243038612,11/03/2026 15:30:38,1773243038612,-4,11/03/2026 11:30:38,255858,16,task-pkec,,53648284,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Phonetic categorization,32,spreadsheet1_dt_d left,fail,fail,pass,$${overridespreadsheet},spreadsheet1_dt_d left,1,practice,soundplay,d8epi7,2,info,audio finished,,367.5999998092666,366.5,367.5999998092666,367.5999998092666,366.5,367.5999998092666,0,0,0,,Audio Clip,Audio,1,object-217,practice,,din_-15.wav,,,d,t,,5,,,
6,1773243038612,11/03/2026 15:30:38,1773243038612,-4,11/03/2026 11:30:38,255858,16,task-pkec,,53648284,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Phonetic categorization,32,spreadsheet1_dt_d left,fail,fail,pass,$${overridespreadsheet},spreadsheet1_dt_d left,1,practice,soundplay,d8epi7,2,continue,,,367.7999998569503,366.5,367.7999998569503,367.7999998569503,366.5,367.7999998569503,1,0,0,,Audio Clip,Audio,1,object-217,practice,,din_-15.wav,,,d,t,,5,,,
7,1773243055296,11/03/2026 15:30:55,1773243055296,-4,11/03/2026 11:30:55,255858,16,task-pkec,,53648284,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Phonetic categorization,32,spreadsheet1_dt_d left,fail,fail,pass,$${overridespreadsheet},spreadsheet1_dt_d left,1,practice,2AFC,9mjind,3,response,d,,16684.79999985695,16669.5,16684.79999985695,16684.79999985695,16669.5,16684.79999985695,0,0,0,,Keyboard Response,Keyboard Response,2,object-222,practice,,din_-15.wav,,,d,t,,5,,,
8,1773243056480,11/03/2026 15:30:56,1773243056480,-4,11/03/2026 11:30:56,255858,16,task-pkec,,53648284,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Phonetic categorization,32,spreadsheet1_dt_d left,fail,fail,pass,$${overridespreadsheet},spreadsheet1_dt_d left,1,practice,1.2 second pause,uqcoka,4,timedOut,,,1199.2999998569503,1199,1199.2999998569503,1199.2999998569503,1199,1199.2999998569503,1,0,0,,Time Limit,screen,0,screen,practice,,din_-15.wav,,,d,t,,5,,,
9,1773243056979,11/03/2026 15:30:56,1773243056979,-4,11/03/2026 11:30:56,255858,16,task-pkec,,53648284,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Phonetic categorization,32,spreadsheet1_dt_d left,fail,fail,pass,$${overridespreadsheet},spreadsheet1_dt_d left,2,practice,fixation,8ljn8d,1,timedOut,,,499.999999904634,499.59999999999854,499.999999904634,499.999999904634,499.59999999999854,499.999999904634,1,0,0,,Time Limit,screen,0,screen,practice,,dill_+110.wav,,,d,t,,5,,,
10,1773243056981,11/03/2026 15:30:56,1773243056981,-4,11/03/2026 11:30:56,255858,16,task-pkec,,53648284,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Phonetic categorization,32,spreadsheet1_dt_d left,fail,fail,pass,$${overridespreadsheet},spreadsheet1_dt_d left,2,practice,soundplay,d8epi7,2,info,audio started,,2.3000000000029104,0,2.3000000000029104,2.3000000000029104,0,2.3000000000029104,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_+110.wav,,,d,t,,5,,,
11,1773243057391,11/03/2026 15:30:57,1773243057391,-4,11/03/2026 11:30:57,255858,16,task-pkec,,53648284,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Phonetic categorization,32,spreadsheet1_dt_d left,fail,fail,pass,$${overridespreadsheet},spreadsheet1_dt_d left,2,practice,soundplay,d8epi7,2,info,audio finished,,412.5999999523192,399.8000000000029,412.5999999523192,412.5999999523192,399.8000000000029,412.5999999523192,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_+110.wav,,,d,t,,5,,,
12,1773243057392,11/03/2026 15:30:57,1773243057392,-4,11/03/2026 11:30:57,255858,16,task-pkec,,53648284,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Phonetic categorization,32,spreadsheet1_dt_d left,fail,fail,pass,$${overridespreadsheet},spreadsheet1_dt_d left,2,practice,soundplay,d8epi7,2,continue,,,413.19999985695176,399.8000000000029,413.19999985695176,413.19999985695176,399.8000000000029,413.19999985695176,1,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_+110.wav,,,d,t,,5,,,
13,1773243059988,11/03/2026 15:30:59,1773243059988,-4,11/03/2026 11:30:59,255858,16,task-pkec,,53648284,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Phonetic categorization,32,spreadsheet1_dt_d left,fail,fail,pass,$${overridespreadsheet},spreadsheet1_dt_d left,2,practice,2AFC,9mjind,3,response,t,,2609.7999999523163,2597.800000000003,2609.7999999523163,2609.7999999523163,2597.800000000003,2609.7999999523163,0,0,0,,Keyboard Response,Keyboard Response,2,object-222,practice,,dill_+110.wav,,,d,t,,5,,,
14,1773243061175,11/03/2026 15:31:01,1773243061175,-4,11/03/2026 11:31:01,255858,16,task-pkec,,53648284,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Phonetic categorization,32,spreadsheet1_dt_d left,fail,fail,pass,$${overridespreadsheet},spreadsheet1_dt_d left,2,practice,1.2 second pause,uqcoka,4,timedOut,,,1199.199999999997,1198.8999999999942,1199.199999999997,1199.199999999997,1198.8999999999942,1199.199999999997,1,0,0,,Time Limit,screen,0,screen,practice,,dill_+110.wav,,,d,t,,5,,,
