Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,branch-b6g2,branch-ahcf,Manipulation: Spreadsheet,Manipulation: correctAnswerCount,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
1,1772646324162,04/03/2026 17:45:24,1772646323959,-8,04/03/2026 09:45:23,255858,14,task-17h5,,53388130,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1772646325898,04/03/2026 17:45:25,1772646325745,-8,04/03/2026 09:45:25,255858,14,task-17h5,,53388130,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,1,Screen 5,Zone1,continue_button,1724.8999999985099,,,,,0,1,0,,,,,,Instructions,,,
3,1772646328469,04/03/2026 17:45:28,1772646328318,-8,04/03/2026 09:45:28,255858,14,task-17h5,,53388130,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,2,Screen 2,script,force_advance,2566.6,,,,,0,1,0,,,,,,Instructions,,,
4,1772646329507,04/03/2026 17:45:29,1772646329315,-8,04/03/2026 09:45:29,255858,14,task-17h5,,53388130,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,989.7000000029802,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Instructions,,,
5,1772646335541,04/03/2026 17:45:35,1772646335380,-8,04/03/2026 09:45:35,255858,14,task-17h5,,53388130,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,7054,,,,,0,1,0,,,,,,Instructions,,,
6,1772646336547,04/03/2026 17:45:36,1772646336384,-8,04/03/2026 09:45:36,255858,14,task-17h5,,53388130,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,4,Screen 6,Zone1,continue_button,994.7999999970198,,,,,0,1,0,,,,,,Instructions,,,
7,1772646337746,04/03/2026 17:45:37,1772646337593,-8,04/03/2026 09:45:37,255858,14,task-17h5,,53388130,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,5,Screen 3,Zone1,continue_button,1199.8999999985099,,,,,0,1,0,,,,,,Instructions,,,
8,1772646338741,04/03/2026 17:45:38,1772646338585,-8,04/03/2026 09:45:38,255858,14,task-17h5,,53388130,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,13,1,1,Screen 3,Zone3,timelimit_screen,1000.1000000000004,,,,,0,1,0,,,1,,1,Trial,2,HugginsPitch_12_2.flac,1
9,1772646344768,04/03/2026 17:45:44,1772646344614,-8,04/03/2026 09:45:44,255858,14,task-17h5,,53388130,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,13,1,2,Screen 1,content,content_audio,6022.29999999702,,,,,0,1,0,,,,,1,Trial,2,HugginsPitch_12_2.flac,1
10,1772646345297,04/03/2026 17:45:45,1772646345156,-8,04/03/2026 09:45:45,255858,14,task-17h5,,53388130,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,13,1,3,Screen 2,buttonC,response_button_text,532.0999999940395,,,3,1,0,1,0,,,,,1,Trial,2,HugginsPitch_12_2.flac,1
11,1772646346056,04/03/2026 17:45:46,1772646345891,-8,04/03/2026 09:45:45,255858,14,task-17h5,,53388130,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,13,1,4,Screen 4,advancementZone,continue_button,729.9000000059605,,,,,0,1,0,,,,,1,Trial,2,HugginsPitch_12_2.flac,1
12,1772646347042,04/03/2026 17:45:47,1772646346884,-8,04/03/2026 09:45:46,255858,14,task-17h5,,53388130,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,9,2,1,Screen 3,Zone3,timelimit_screen,1000,,,,,0,1,0,,,1,,1,Trial,1,HugginsPitch_8_1.flac,1
13,1772646353103,04/03/2026 17:45:53,1772646352949,-8,04/03/2026 09:45:52,255858,14,task-17h5,,53388130,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,9,2,2,Screen 1,content,content_audio,6058.60000000149,,,,,0,1,0,,,,,1,Trial,1,HugginsPitch_8_1.flac,1
14,1772646353617,04/03/2026 17:45:53,1772646353457,-8,04/03/2026 09:45:53,255858,14,task-17h5,,53388130,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,9,2,3,Screen 2,buttonA,response_button_text,501,,,1,1,1,0,0,,,,,1,Trial,1,HugginsPitch_8_1.flac,1
15,1772646354794,04/03/2026 17:45:54,1772646354641,-8,04/03/2026 09:45:54,255858,14,task-17h5,,53388130,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,9,2,4,Screen 4,advancementZone,continue_button,1178.3999999985099,,,,,0,1,0,,,,,1,Trial,1,HugginsPitch_8_1.flac,1
16,1772646355788,04/03/2026 17:45:55,1772646355634,-8,04/03/2026 09:45:55,255858,14,task-17h5,,53388130,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,10,3,1,Screen 3,Zone3,timelimit_screen,1000.0000000000036,,,,,0,1,0,,,1,,1,Trial,2,HugginsPitch_9_2.flac,1
17,1772646361862,04/03/2026 17:46:01,1772646361703,-8,04/03/2026 09:46:01,255858,14,task-17h5,,53388130,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,10,3,2,Screen 1,content,content_audio,6062.9000000059605,,,,,0,1,0,,,,,1,Trial,2,HugginsPitch_9_2.flac,1
