Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,branch-b6g2,branch-ahcf,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: word,Spreadsheet: stim,Spreadsheet: step,Spreadsheet: list,Spreadsheet: left,Spreadsheet: right,Spreadsheet: progress,Spreadsheet: randomized_trial,Spreadsheet: type,Spreadsheet: condition,Store: target
1,1772646409486,04/03/2026 17:46:49,1772646409486,-8,04/03/2026 09:46:49,255858,14,task-pkec,,53388191,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,0,Phonetic categorization,31,spreadsheet1_dt_d left,fail,pass,,$${overridespreadsheet},$${overridespreadsheet},,,,,,info,BEGIN,,,,,,,,0,,,,,,,,,,,,,,,,,,,
2,1772646423246,04/03/2026 17:47:03,1772646423246,-8,04/03/2026 09:47:03,255858,14,task-pkec,,53388191,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,0,Phonetic categorization,31,spreadsheet1_dt_d left,fail,pass,,$${overridespreadsheet},spreadsheet1_dt_d left,1,instructions,2AFC instructions,7fqomj,1,continue,,,12881.200000000003,12864.6,12881.200000000003,12881.200000000003,12864.6,12881.200000000003,1,0,0,,Click To Continue,Continue Button,1,object-242,instructions,,,,,d,t,,,,,
3,1772646423726,04/03/2026 17:47:03,1772646423726,-8,04/03/2026 09:47:03,255858,14,task-pkec,,53388191,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,0,Phonetic categorization,31,spreadsheet1_dt_d left,fail,pass,,$${overridespreadsheet},spreadsheet1_dt_d left,1,practice,fixation,8ljn8d,1,timedOut,,,497.0000000029795,494.8999999999978,497.0000000029795,497.0000000029795,494.8999999999978,497.0000000029795,1,0,0,,Time Limit,screen,0,screen,practice,,dill_+115.wav,,,d,t,,5,,,
4,1772646423732,04/03/2026 17:47:03,1772646423732,-8,04/03/2026 09:47:03,255858,14,task-pkec,,53388191,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,0,Phonetic categorization,31,spreadsheet1_dt_d left,fail,pass,,$${overridespreadsheet},spreadsheet1_dt_d left,1,practice,soundplay,d8epi7,2,info,audio started,,9.400000000001455,0,9.400000000001455,9.400000000001455,0,9.400000000001455,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_+115.wav,,,d,t,,5,,,
5,1772646424148,04/03/2026 17:47:04,1772646424148,-8,04/03/2026 09:47:04,255858,14,task-pkec,,53388191,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,0,Phonetic categorization,31,spreadsheet1_dt_d left,fail,pass,,$${overridespreadsheet},spreadsheet1_dt_d left,1,practice,soundplay,d8epi7,2,info,audio finished,,424.5,407.90000000000146,424.5,424.5,407.90000000000146,424.5,0,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_+115.wav,,,d,t,,5,,,
6,1772646424149,04/03/2026 17:47:04,1772646424149,-8,04/03/2026 09:47:04,255858,14,task-pkec,,53388191,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,0,Phonetic categorization,31,spreadsheet1_dt_d left,fail,pass,,$${overridespreadsheet},spreadsheet1_dt_d left,1,practice,soundplay,d8epi7,2,continue,,,424.5,407.90000000000146,424.5,424.5,407.90000000000146,424.5,1,0,0,,Audio Clip,Audio,1,object-217,practice,,dill_+115.wav,,,d,t,,5,,,
7,1772646425593,04/03/2026 17:47:05,1772646425593,-8,04/03/2026 09:47:05,255858,14,task-pkec,,53388191,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,0,Phonetic categorization,31,spreadsheet1_dt_d left,fail,pass,,$${overridespreadsheet},spreadsheet1_dt_d left,1,practice,2AFC,9mjind,3,response,t,,1462,1449.7000000000007,1462,1462,1449.7000000000007,1462,0,0,0,,Keyboard Response,Keyboard Response,2,object-222,practice,,dill_+115.wav,,,d,t,,5,,,
8,1772646426783,04/03/2026 17:47:06,1772646426783,-8,04/03/2026 09:47:06,255858,14,task-pkec,,53388191,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,0,Phonetic categorization,31,spreadsheet1_dt_d left,fail,pass,,$${overridespreadsheet},spreadsheet1_dt_d left,1,practice,1.2 second pause,uqcoka,4,timedOut,,,1201.2999999999993,1201,1201.2999999999993,1201.2999999999993,1201,1201.2999999999993,1,0,0,,Time Limit,screen,0,screen,practice,,dill_+115.wav,,,d,t,,5,,,
9,1772646427282,04/03/2026 17:47:07,1772646427282,-8,04/03/2026 09:47:07,255858,14,task-pkec,,53388191,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,0,Phonetic categorization,31,spreadsheet1_dt_d left,fail,pass,,$${overridespreadsheet},spreadsheet1_dt_d left,2,practice,fixation,8ljn8d,1,timedOut,,,500.6000000044696,500.2000000000007,500.6000000044696,500.6000000044696,500.2000000000007,500.6000000044696,1,0,0,,Time Limit,screen,0,screen,practice,,pleft_ame.mp3,,,d,t,,5,,,
10,1772646427288,04/03/2026 17:47:07,1772646427288,-8,04/03/2026 09:47:07,255858,14,task-pkec,,53388191,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,0,Phonetic categorization,31,spreadsheet1_dt_d left,fail,pass,,$${overridespreadsheet},spreadsheet1_dt_d left,2,practice,soundplay,d8epi7,2,info,audio started,,6.400000004468893,0,6.400000004468893,6.400000004468893,0,6.400000004468893,0,0,0,,Audio Clip,Audio,1,object-217,practice,,pleft_ame.mp3,,,d,t,,5,,,
