Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,branch-b6g2,branch-ahcf,Manipulation: Spreadsheet,Manipulation: correctAnswerCount,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
1,1772646211610,04/03/2026 17:43:31,1772646211433,-8,04/03/2026 09:43:31,255858,14,task-r1nu,,53388070,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1772646215183,04/03/2026 17:43:35,1772646215023,-8,04/03/2026 09:43:35,255858,14,task-r1nu,,53388070,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,1,Screen 5,Zone1,continue_button,2007,,,,,0,1,0,,,,,,Instructions,,,
3,1772646216528,04/03/2026 17:43:36,1772646216362,-8,04/03/2026 09:43:36,255858,14,task-r1nu,,53388070,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,2,Screen 2,Zone1,content_web_audio,1332.1999999955297,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Instructions,,,
4,1772646221322,04/03/2026 17:43:41,1772646221167,-8,04/03/2026 09:43:41,255858,14,task-r1nu,,53388070,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,2,Screen 2,script,force_advance,6133.400000000001,,,,,0,1,0,,,,,,Instructions,,,
5,1772646231617,04/03/2026 17:43:51,1772646231453,-8,04/03/2026 09:43:51,255858,14,task-r1nu,,53388070,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,10280.89999999851,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Instructions,,,
6,1772646237716,04/03/2026 17:43:57,1772646237517,-8,04/03/2026 09:43:57,255858,14,task-r1nu,,53388070,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,16344.30000000447,,,,,0,1,0,,,,,,Instructions,,,
7,1772646242428,04/03/2026 17:44:02,1772646242103,-8,04/03/2026 09:44:02,255858,14,task-r1nu,,53388070,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,4,Screen 6,Zone2,content_web_audio,4577.5999999940395,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Instructions,,,
8,1772646247545,04/03/2026 17:44:07,1772646247384,-8,04/03/2026 09:44:07,255858,14,task-r1nu,,53388070,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,4,Screen 6,Zone1,continue_button,9858.69999999553,,,,,0,1,0,,,,,,Instructions,,,
9,1772646252957,04/03/2026 17:44:12,1772646252814,-8,04/03/2026 09:44:12,255858,14,task-r1nu,,53388070,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,1,1,5,Screen 3,Zone1,continue_button,5424.39999999851,,,,,0,1,0,,,,,,Instructions,,,
10,1772646253952,04/03/2026 17:44:13,1772646253802,-8,04/03/2026 09:44:13,255858,14,task-r1nu,,53388070,,15330547,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x900,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,pass,,Spreadsheet1,correctAnswerCount,Spreadsheet1,9,1,1,Screen 3,Zone3,timelimit_screen,1000.1000000000058,,,,,0,1,0,,,1,,1,Trial,1,HugginsPitch_8_1.flac,1
