"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","mean","sd","left","right","option_setup","progress_bar"
"instructions",,,,,,,,,,,,"d","t",,
"practice",,"dill_-50.wav",,,,,,,,,,"dill","till",,
"practice",,"dill_-100.wav",,,,,,,,,,"dill","till",,
"practice",,"din_+130.wav",,,,,,,,,,"din","tin",,
"practice",,"dip_+120.wav",,,,,,,,,,"dip","tip",,
"practice",,"dip_+125.wav",,,,,,,,,,"dip","tip",,
"preparation buffer",,,,,,,,,,,,"d","t",,
"phonetic categorization","test","dip_40.wav","dip","40",,,,"T1","1",,,"tip","dip","d-right","234"
"phonetic categorization","test","dip_45.wav","dip","45",,,,"T1","1",,,"tip","dip","d-right","234"
"phonetic categorization","test","dip_15.wav","dip","15",,,,"T1","1",,,"tip","dip","d-right","234"
"phonetic categorization","test","dill_50.wav","dill","50",,,,"T1","1",,,"till","dill","d-right","234"
"phonetic categorization","test","dill_25.wav","dill","25",,,,"T1","1",,,"till","dill","d-right","234"
"phonetic categorization","test","din_65.wav","din","65",,,,"T1","1",,,"tin","din","d-right","234"
"phonetic categorization","test","dill_35.wav","dill","35",,,,"T1","1",,,"till","dill","d-right","234"
"phonetic categorization","test","dill_-5.wav","dill","-5",,,,"T1","1",,,"till","dill","d-right","234"
"phonetic categorization","test","din_70.wav","din","70",,,,"T1","1",,,"tin","din","d-right","234"
"phonetic categorization","test","din_30.wav","din","30",,,,"T1","1",,,"tin","din","d-right","234"
"phonetic categorization","test","dip_5.wav","dip","5",,,,"T1","1",,,"tip","dip","d-right","234"
"phonetic categorization","test","din_55.wav","din","55",,,,"T1","1",,,"tin","din","d-right","234"
"phonetic categorization","exposure","dill_40.wav","dill","40","labeled","expo+20ms","A","B","2","5","8.94427190999916","dill","din","d-right","234"
"phonetic categorization","exposure","dill_50.wav","dill","50","labeled","expo+20ms","A","B","2","5","8.94427190999916","dill","din","d-right","234"
"phonetic categorization","exposure","dill_50.wav","dill","50","labeled","expo+20ms","A","B","2","5","8.94427190999916","dill","din","d-right","234"
"phonetic categorization","exposure","dill_60.wav","dill","60","labeled","expo+20ms","A","B","2","5","8.94427190999916","dill","din","d-right","234"
"phonetic categorization","exposure","dill_35.wav","dill","35","unlabeled","expo+20ms","A","B","2","5","8.94427190999916","till","dill","d-right","234"
"phonetic categorization","exposure","dill_45.wav","dill","45","unlabeled","expo+20ms","A","B","2","5","8.94427190999916","till","dill","d-right","234"
"phonetic categorization","exposure","dill_45.wav","dill","45","unlabeled","expo+20ms","A","B","2","5","8.94427190999916","till","dill","d-right","234"
"phonetic categorization","exposure","dill_45.wav","dill","45","unlabeled","expo+20ms","A","B","2","5","8.94427190999916","till","dill","d-right","234"
"phonetic categorization","exposure","din_20.wav","din","20","labeled","expo+20ms","A","B","2","5","8.94427190999916","din","dill","d-right","234"
"phonetic categorization","exposure","din_35.wav","din","35","labeled","expo+20ms","A","B","2","5","8.94427190999916","din","dill","d-right","234"
"phonetic categorization","exposure","din_35.wav","din","35","labeled","expo+20ms","A","B","2","5","8.94427190999916","din","dill","d-right","234"
"phonetic categorization","exposure","din_50.wav","din","50","labeled","expo+20ms","A","B","2","5","8.94427190999916","din","dill","d-right","234"
"phonetic categorization","exposure","din_30.wav","din","30","unlabeled","expo+20ms","A","B","2","5","8.94427190999916","tin","din","d-right","234"
