"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","list","mean","sd","left","right","option_setup","progress_bar"
"phonetic categorization","test","din_40.wav","din","40",,,,"T1","1",,,,"din","tin","d-left","234"
"phonetic categorization","test","din_65.wav","din","65",,,,"T1","1",,,,"din","tin","d-left","234"
"phonetic categorization","test","dill_-5.wav","dill","-5",,,,"T1","1",,,,"dill","till","d-left","234"
"phonetic categorization","test","dip_50.wav","dip","50",,,,"T1","1",,,,"dip","tip","d-left","234"
"phonetic categorization","test","dill_45.wav","dill","45",,,,"T1","1",,,,"dill","till","d-left","234"
"phonetic categorization","test","dill_35.wav","dill","35",,,,"T1","1",,,,"dill","till","d-left","234"
"phonetic categorization","test","din_30.wav","din","30",,,,"T1","1",,,,"din","tin","d-left","234"
"phonetic categorization","test","dip_15.wav","dip","15",,,,"T1","1",,,,"dip","tip","d-left","234"
"phonetic categorization","test","dip_25.wav","dip","25",,,,"T1","1",,,,"dip","tip","d-left","234"
"phonetic categorization","test","dip_70.wav","dip","70",,,,"T1","1",,,,"dip","tip","d-left","234"
"phonetic categorization","test","din_5.wav","din","5",,,,"T1","1",,,,"din","tin","d-left","234"
"phonetic categorization","test","dill_55.wav","dill","55",,,,"T1","1",,,,"dill","till","d-left","234"
"phonetic categorization","exposure","dill_15.wav","dill","15","labeled","expo-10ms","A","C","6","A","5","8.94427190999916","dill","din","d-left","234"
"phonetic categorization","exposure","dill_30.wav","dill","30","labeled","expo-10ms","A","C","6","A","5","8.94427190999916","dill","din","d-left","234"
"phonetic categorization","exposure","dill_5.wav","dill","5","labeled","expo-10ms","A","C","6","A","5","8.94427190999916","dill","din","d-left","234"
"phonetic categorization","exposure","dill_5.wav","dill","5","labeled","expo-10ms","A","C","6","A","5","8.94427190999916","dill","din","d-left","234"
"phonetic categorization","exposure","dill_-5.wav","dill","-5","unlabeled","expo-10ms","A","C","6","A","5","8.94427190999916","dill","till","d-left","234"
"phonetic categorization","exposure","dill_15.wav","dill","15","unlabeled","expo-10ms","A","C","6","A","5","8.94427190999916","dill","till","d-left","234"
"phonetic categorization","exposure","dill_15.wav","dill","15","unlabeled","expo-10ms","A","C","6","A","5","8.94427190999916","dill","till","d-left","234"
"phonetic categorization","exposure","dill_25.wav","dill","25","unlabeled","expo-10ms","A","C","6","A","5","8.94427190999916","dill","till","d-left","234"
"phonetic categorization","exposure","din_15.wav","din","15","labeled","expo-10ms","A","C","6","A","5","8.94427190999916","din","dill","d-left","234"
"phonetic categorization","exposure","din_20.wav","din","20","labeled","expo-10ms","A","C","6","A","5","8.94427190999916","din","dill","d-left","234"
"phonetic categorization","exposure","din_20.wav","din","20","labeled","expo-10ms","A","C","6","A","5","8.94427190999916","din","dill","d-left","234"
"phonetic categorization","exposure","din_5.wav","din","5","labeled","expo-10ms","A","C","6","A","5","8.94427190999916","din","dill","d-left","234"
"phonetic categorization","exposure","din_10.wav","din","10","unlabeled","expo-10ms","A","C","6","A","5","8.94427190999916","din","tin","d-left","234"
"phonetic categorization","exposure","din_15.wav","din","15","unlabeled","expo-10ms","A","C","6","A","5","8.94427190999916","din","tin","d-left","234"
"phonetic categorization","exposure","din_20.wav","din","20","unlabeled","expo-10ms","A","C","6","A","5","8.94427190999916","din","tin","d-left","234"
"phonetic categorization","exposure","din_20.wav","din","20","unlabeled","expo-10ms","A","C","6","A","5","8.94427190999916","din","tin","d-left","234"
"phonetic categorization","exposure","dip_10.wav","dip","10","labeled","expo-10ms","A","C","6","A","5","8.94427190999916","din","dip","d-left","234"
"phonetic categorization","exposure","dip_15.wav","dip","15","labeled","expo-10ms","A","C","6","A","5","8.94427190999916","din","dip","d-left","234"
"phonetic categorization","exposure","dip_20.wav","dip","20","labeled","expo-10ms","A","C","6","A","5","8.94427190999916","din","dip","d-left","234"
"phonetic categorization","exposure","dip_5.wav","dip","5","labeled","expo-10ms","A","C","6","A","5","8.94427190999916","din","dip","d-left","234"
"phonetic categorization","exposure","dip_-10.wav","dip","-10","unlabeled","expo-10ms","A","C","6","A","5","8.94427190999916","dip","tip","d-left","234"
"phonetic categorization","exposure","dip_10.wav","dip","10","unlabeled","expo-10ms","A","C","6","A","5","8.94427190999916","dip","tip","d-left","234"
"phonetic categorization","exposure","dip_20.wav","dip","20","unlabeled","expo-10ms","A","C","6","A","5","8.94427190999916","dip","tip","d-left","234"
"phonetic categorization","exposure","dip_5.wav","dip","5","unlabeled","expo-10ms","A","C","6","A","5","8.94427190999916","dip","tip","d-left","234"
"phonetic categorization","exposure","dill_35.wav","till","35","labeled","expo-10ms","A","C","6","A","50","16.431676725155","tin","till","d-left","234"
"phonetic categorization","exposure","dill_60.wav","till","60","labeled","expo-10ms","A","C","6","A","50","16.431676725155","tin","till","d-left","234"
"phonetic categorization","exposure","dill_70.wav","till","70","labeled","expo-10ms","A","C","6","A","50","16.431676725155","tin","till","d-left","234"
"phonetic categorization","exposure","dill_80.wav","till","80","labeled","expo-10ms","A","C","6","A","50","16.431676725155","tin","till","d-left","234"
"phonetic categorization","exposure","dill_45.wav","till","45","unlabeled","expo-10ms","A","C","6","A","50","16.431676725155","dill","till","d-left","234"
"phonetic categorization","exposure","dill_55.wav","till","55","unlabeled","expo-10ms","A","C","6","A","50","16.431676725155","dill","till","d-left","234"
"phonetic categorization","exposure","dill_65.wav","till","65","unlabeled","expo-10ms","A","C","6","A","50","16.431676725155","dill","till","d-left","234"
"phonetic categorization","exposure","dill_95.wav","till","95","unlabeled","expo-10ms","A","C","6","A","50","16.431676725155","dill","till","d-left","234"
"phonetic categorization","exposure","din_40.wav","tin","40","labeled","expo-10ms","A","C","6","A","50","16.431676725155","till","tin","d-left","234"
"phonetic categorization","exposure","din_45.wav","tin","45","labeled","expo-10ms","A","C","6","A","50","16.431676725155","till","tin","d-left","234"
"phonetic categorization","exposure","din_60.wav","tin","60","labeled","expo-10ms","A","C","6","A","50","16.431676725155","till","tin","d-left","234"
"phonetic categorization","exposure","din_65.wav","tin","65","labeled","expo-10ms","A","C","6","A","50","16.431676725155","till","tin","d-left","234"
"phonetic categorization","exposure","din_40.wav","tin","40","unlabeled","expo-10ms","A","C","6","A","50","16.431676725155","din","tin","d-left","234"
"phonetic categorization","exposure","din_60.wav","tin","60","unlabeled","expo-10ms","A","C","6","A","50","16.431676725155","din","tin","d-left","234"
"phonetic categorization","exposure","din_60.wav","tin","60","unlabeled","expo-10ms","A","C","6","A","50","16.431676725155","din","tin","d-left","234"
"phonetic categorization","exposure","din_80.wav","tin","80","unlabeled","expo-10ms","A","C","6","A","50","16.431676725155","din","tin","d-left","234"
"phonetic categorization","exposure","dip_40.wav","tip","40","labeled","expo-10ms","A","C","6","A","50","16.431676725155","tip","tin","d-left","234"
"phonetic categorization","exposure","dip_50.wav","tip","50","labeled","expo-10ms","A","C","6","A","50","16.431676725155","tip","tin","d-left","234"
"phonetic categorization","exposure","dip_65.wav","tip","65","labeled","expo-10ms","A","C","6","A","50","16.431676725155","tip","tin","d-left","234"
"phonetic categorization","exposure","dip_80.wav","tip","80","labeled","expo-10ms","A","C","6","A","50","16.431676725155","tip","tin","d-left","234"
"phonetic categorization","exposure","dip_50.wav","tip","50","unlabeled","expo-10ms","A","C","6","A","50","16.431676725155","dip","tip","d-left","234"
"phonetic categorization","exposure","dip_55.wav","tip","55","unlabeled","expo-10ms","A","C","6","A","50","16.431676725155","dip","tip","d-left","234"
"phonetic categorization","exposure","dip_60.wav","tip","60","unlabeled","expo-10ms","A","C","6","A","50","16.431676725155","dip","tip","d-left","234"
"phonetic categorization","exposure","dip_75.wav","tip","75","unlabeled","expo-10ms","A","C","6","A","50","16.431676725155","dip","tip","d-left","234"
"break","","","","","","","","","","","","","","","",""
"phonetic categorization","catch","flare.wav","flare",,,"expo-10ms","A","C","6","A",,,"flare","share","d-left","234"
"phonetic categorization","catch","flare.wav","flare",,,"expo-10ms","A","C","6","A",,,"flare","share","d-left","234"
"phonetic categorization","catch","rare.wav","rare",,,"expo-10ms","A","C","6","A",,,"rare","flare","d-left","234"
"phonetic categorization","catch","rare.wav","rare",,,"expo-10ms","A","C","6","A",,,"rare","flare","d-left","234"
"phonetic categorization","catch","share.wav","share",,,"expo-10ms","A","C","6","A",,,"rare","share","d-left","234"
"phonetic categorization","catch","share.wav","share",,,"expo-10ms","A","C","6","A",,,"rare","share","d-left","234"
"phonetic categorization","test","dip_40.wav","dip","40",,,,"T2","3",,,,"dip","tip","d-left","234"
"phonetic categorization","test","dill_65.wav","dill","65",,,,"T2","3",,,,"dill","till","d-left","234"
"phonetic categorization","test","din_-5.wav","din","-5",,,,"T2","3",,,,"din","tin","d-left","234"
"phonetic categorization","test","din_50.wav","din","50",,,,"T2","3",,,,"din","tin","d-left","234"
"phonetic categorization","test","dip_45.wav","dip","45",,,,"T2","3",,,,"dip","tip","d-left","234"
"phonetic categorization","test","din_35.wav","din","35",,,,"T2","3",,,,"din","tin","d-left","234"
"phonetic categorization","test","dill_30.wav","dill","30",,,,"T2","3",,,,"dill","till","d-left","234"
"phonetic categorization","test","din_15.wav","din","15",,,,"T2","3",,,,"din","tin","d-left","234"
"phonetic categorization","test","dill_25.wav","dill","25",,,,"T2","3",,,,"dill","till","d-left","234"
"phonetic categorization","test","dill_70.wav","dill","70",,,,"T2","3",,,,"dill","till","d-left","234"
"phonetic categorization","test","dip_5.wav","dip","5",,,,"T2","3",,,,"dip","tip","d-left","234"
"phonetic categorization","test","dip_55.wav","dip","55",,,,"T2","3",,,,"dip","tip","d-left","234"
"phonetic categorization","exposure","dill_15.wav","dill","15","labeled","expo-10ms","A","A","2","A","5","8.94427190999916","dill","din","d-left","234"
"phonetic categorization","exposure","dill_25.wav","dill","25","labeled","expo-10ms","A","A","2","A","5","8.94427190999916","dill","din","d-left","234"
"phonetic categorization","exposure","dill_5.wav","dill","5","labeled","expo-10ms","A","A","2","A","5","8.94427190999916","dill","din","d-left","234"
"phonetic categorization","exposure","dill_5.wav","dill","5","labeled","expo-10ms","A","A","2","A","5","8.94427190999916","dill","din","d-left","234"
"phonetic categorization","exposure","dill_15.wav","dill","15","unlabeled","expo-10ms","A","A","2","A","5","8.94427190999916","dill","till","d-left","234"
"phonetic categorization","exposure","dill_25.wav","dill","25","unlabeled","expo-10ms","A","A","2","A","5","8.94427190999916","dill","till","d-left","234"
"phonetic categorization","exposure","dill_5.wav","dill","5","unlabeled","expo-10ms","A","A","2","A","5","8.94427190999916","dill","till","d-left","234"
"phonetic categorization","exposure","dill_5.wav","dill","5","unlabeled","expo-10ms","A","A","2","A","5","8.94427190999916","dill","till","d-left","234"
"phonetic categorization","exposure","din_10.wav","din","10","labeled","expo-10ms","A","A","2","A","5","8.94427190999916","din","dill","d-left","234"
"phonetic categorization","exposure","din_10.wav","din","10","labeled","expo-10ms","A","A","2","A","5","8.94427190999916","din","dill","d-left","234"
"phonetic categorization","exposure","din_15.wav","din","15","labeled","expo-10ms","A","A","2","A","5","8.94427190999916","din","dill","d-left","234"
"phonetic categorization","exposure","din_15.wav","din","15","labeled","expo-10ms","A","A","2","A","5","8.94427190999916","din","dill","d-left","234"
"phonetic categorization","exposure","din_10.wav","din","10","unlabeled","expo-10ms","A","A","2","A","5","8.94427190999916","din","tin","d-left","234"
"phonetic categorization","exposure","din_15.wav","din","15","unlabeled","expo-10ms","A","A","2","A","5","8.94427190999916","din","tin","d-left","234"
"phonetic categorization","exposure","din_15.wav","din","15","unlabeled","expo-10ms","A","A","2","A","5","8.94427190999916","din","tin","d-left","234"
"phonetic categorization","exposure","din_20.wav","din","20","unlabeled","expo-10ms","A","A","2","A","5","8.94427190999916","din","tin","d-left","234"
"phonetic categorization","exposure","dip_0.wav","dip","0","labeled","expo-10ms","A","A","2","A","5","8.94427190999916","din","dip","d-left","234"
"phonetic categorization","exposure","dip_20.wav","dip","20","labeled","expo-10ms","A","A","2","A","5","8.94427190999916","din","dip","d-left","234"
"phonetic categorization","exposure","dip_30.wav","dip","30","labeled","expo-10ms","A","A","2","A","5","8.94427190999916","din","dip","d-left","234"
"phonetic categorization","exposure","dip_5.wav","dip","5","labeled","expo-10ms","A","A","2","A","5","8.94427190999916","din","dip","d-left","234"
"phonetic categorization","exposure","dip_10.wav","dip","10","unlabeled","expo-10ms","A","A","2","A","5","8.94427190999916","dip","tip","d-left","234"
"phonetic categorization","exposure","dip_10.wav","dip","10","unlabeled","expo-10ms","A","A","2","A","5","8.94427190999916","dip","tip","d-left","234"
"phonetic categorization","exposure","dip_20.wav","dip","20","unlabeled","expo-10ms","A","A","2","A","5","8.94427190999916","dip","tip","d-left","234"
"phonetic categorization","exposure","dip_30.wav","dip","30","unlabeled","expo-10ms","A","A","2","A","5","8.94427190999916","dip","tip","d-left","234"
"phonetic categorization","exposure","dill_55.wav","till","55","labeled","expo-10ms","A","A","2","A","50","16.431676725155","tin","till","d-left","234"
"phonetic categorization","exposure","dill_65.wav","till","65","labeled","expo-10ms","A","A","2","A","50","16.431676725155","tin","till","d-left","234"
"phonetic categorization","exposure","dill_75.wav","till","75","labeled","expo-10ms","A","A","2","A","50","16.431676725155","tin","till","d-left","234"
"phonetic categorization","exposure","dill_85.wav","till","85","labeled","expo-10ms","A","A","2","A","50","16.431676725155","tin","till","d-left","234"
"phonetic categorization","exposure","dill_60.wav","till","60","unlabeled","expo-10ms","A","A","2","A","50","16.431676725155","dill","till","d-left","234"
"phonetic categorization","exposure","dill_70.wav","till","70","unlabeled","expo-10ms","A","A","2","A","50","16.431676725155","dill","till","d-left","234"
"phonetic categorization","exposure","dill_70.wav","till","70","unlabeled","expo-10ms","A","A","2","A","50","16.431676725155","dill","till","d-left","234"
"phonetic categorization","exposure","dill_75.wav","till","75","unlabeled","expo-10ms","A","A","2","A","50","16.431676725155","dill","till","d-left","234"
"phonetic categorization","exposure","din_50.wav","tin","50","labeled","expo-10ms","A","A","2","A","50","16.431676725155","till","tin","d-left","234"
"phonetic categorization","exposure","din_70.wav","tin","70","labeled","expo-10ms","A","A","2","A","50","16.431676725155","till","tin","d-left","234"
"phonetic categorization","exposure","din_80.wav","tin","80","labeled","expo-10ms","A","A","2","A","50","16.431676725155","till","tin","d-left","234"
"phonetic categorization","exposure","din_85.wav","tin","85","labeled","expo-10ms","A","A","2","A","50","16.431676725155","till","tin","d-left","234"
"phonetic categorization","exposure","din_50.wav","tin","50","unlabeled","expo-10ms","A","A","2","A","50","16.431676725155","din","tin","d-left","234"
"phonetic categorization","exposure","din_55.wav","tin","55","unlabeled","expo-10ms","A","A","2","A","50","16.431676725155","din","tin","d-left","234"
"phonetic categorization","exposure","din_55.wav","tin","55","unlabeled","expo-10ms","A","A","2","A","50","16.431676725155","din","tin","d-left","234"
"phonetic categorization","exposure","din_60.wav","tin","60","unlabeled","expo-10ms","A","A","2","A","50","16.431676725155","din","tin","d-left","234"
"phonetic categorization","exposure","dip_45.wav","tip","45","labeled","expo-10ms","A","A","2","A","50","16.431676725155","tip","tin","d-left","234"
"phonetic categorization","exposure","dip_55.wav","tip","55","labeled","expo-10ms","A","A","2","A","50","16.431676725155","tip","tin","d-left","234"
"break","","","","","","","","","","","","","","","",""
"phonetic categorization","exposure","dip_60.wav","tip","60","labeled","expo-10ms","A","A","2","A","50","16.431676725155","tip","tin","d-left","234"
"phonetic categorization","exposure","dip_60.wav","tip","60","labeled","expo-10ms","A","A","2","A","50","16.431676725155","tip","tin","d-left","234"
"phonetic categorization","exposure","dip_30.wav","tip","30","unlabeled","expo-10ms","A","A","2","A","50","16.431676725155","dip","tip","d-left","234"
"phonetic categorization","exposure","dip_60.wav","tip","60","unlabeled","expo-10ms","A","A","2","A","50","16.431676725155","dip","tip","d-left","234"
"phonetic categorization","exposure","dip_65.wav","tip","65","unlabeled","expo-10ms","A","A","2","A","50","16.431676725155","dip","tip","d-left","234"
"phonetic categorization","exposure","dip_75.wav","tip","75","unlabeled","expo-10ms","A","A","2","A","50","16.431676725155","dip","tip","d-left","234"
"phonetic categorization","catch","flare.wav","flare",,,"expo-10ms","A","A","2","A",,,"flare","share","d-left","234"
"phonetic categorization","catch","flare.wav","flare",,,"expo-10ms","A","A","2","A",,,"flare","share","d-left","234"
"phonetic categorization","catch","rare.wav","rare",,,"expo-10ms","A","A","2","A",,,"rare","flare","d-left","234"
"phonetic categorization","catch","rare.wav","rare",,,"expo-10ms","A","A","2","A",,,"rare","flare","d-left","234"
"phonetic categorization","catch","share.wav","share",,,"expo-10ms","A","A","2","A",,,"rare","share","d-left","234"
"phonetic categorization","catch","share.wav","share",,,"expo-10ms","A","A","2","A",,,"rare","share","d-left","234"
"phonetic categorization","test","dill_40.wav","dill","40",,,,"T3","5",,,,"dill","till","d-left","234"
"phonetic categorization","test","dip_65.wav","dip","65",,,,"T3","5",,,,"dip","tip","d-left","234"
"phonetic categorization","test","dip_-5.wav","dip","-5",,,,"T3","5",,,,"dip","tip","d-left","234"
