"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","list","mean","sd","left","right","option_setup","progress_bar"
"phonetic categorization","exposure","dill_35.wav","dill",35,"labeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"dill","din","d-right",234
"phonetic categorization","exposure","dill_35.wav","dill",35,"labeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"dill","din","d-right",234
"phonetic categorization","exposure","dill_45.wav","dill",45,"labeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"dill","din","d-right",234
"phonetic categorization","exposure","dill_55.wav","dill",55,"labeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"dill","din","d-right",234
"phonetic categorization","exposure","dill_35.wav","dill",35,"unlabeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"till","dill","d-right",234
"phonetic categorization","exposure","dill_35.wav","dill",35,"unlabeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"till","dill","d-right",234
"phonetic categorization","exposure","dill_45.wav","dill",45,"unlabeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"till","dill","d-right",234
"phonetic categorization","exposure","dill_55.wav","dill",55,"unlabeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"till","dill","d-right",234
"phonetic categorization","exposure","din_40.wav","din",40,"labeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"din","dill","d-right",234
"phonetic categorization","exposure","din_40.wav","din",40,"labeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"din","dill","d-right",234
"phonetic categorization","exposure","din_45.wav","din",45,"labeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"din","dill","d-right",234
"phonetic categorization","exposure","din_45.wav","din",45,"labeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"din","dill","d-right",234
"phonetic categorization","exposure","din_40.wav","din",40,"unlabeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"tin","din","d-right",234
"phonetic categorization","exposure","din_45.wav","din",45,"unlabeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"tin","din","d-right",234
"phonetic categorization","exposure","din_45.wav","din",45,"unlabeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"tin","din","d-right",234
"phonetic categorization","exposure","din_50.wav","din",50,"unlabeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"tin","din","d-right",234
"phonetic categorization","exposure","dip_30.wav","dip",30,"labeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"din","dip","d-right",234
"phonetic categorization","exposure","dip_35.wav","dip",35,"labeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"din","dip","d-right",234
"phonetic categorization","exposure","dip_50.wav","dip",50,"labeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"din","dip","d-right",234
"phonetic categorization","exposure","dip_60.wav","dip",60,"labeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"din","dip","d-right",234
"phonetic categorization","exposure","dip_40.wav","dip",40,"unlabeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"tip","dip","d-right",234
"phonetic categorization","exposure","dip_40.wav","dip",40,"unlabeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"tip","dip","d-right",234
"phonetic categorization","exposure","dip_50.wav","dip",50,"unlabeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"tip","dip","d-right",234
"phonetic categorization","exposure","dip_60.wav","dip",60,"unlabeled","expo+20ms","A","A",2,"A",5,8.94427190999916,"tip","dip","d-right",234
"phonetic categorization","exposure","dill_105.wav","till",105,"labeled","expo+20ms","A","A",2,"A",50,16.431676725155,"tin","till","d-right",234
"phonetic categorization","exposure","dill_115.wav","till",115,"labeled","expo+20ms","A","A",2,"A",50,16.431676725155,"tin","till","d-right",234
"phonetic categorization","exposure","dill_85.wav","till",85,"labeled","expo+20ms","A","A",2,"A",50,16.431676725155,"tin","till","d-right",234
"phonetic categorization","exposure","dill_95.wav","till",95,"labeled","expo+20ms","A","A",2,"A",50,16.431676725155,"tin","till","d-right",234
"phonetic categorization","exposure","dill_100.wav","till",100,"unlabeled","expo+20ms","A","A",2,"A",50,16.431676725155,"till","dill","d-right",234
"phonetic categorization","exposure","dill_100.wav","till",100,"unlabeled","expo+20ms","A","A",2,"A",50,16.431676725155,"till","dill","d-right",234
"phonetic categorization","exposure","dill_105.wav","till",105,"unlabeled","expo+20ms","A","A",2,"A",50,16.431676725155,"till","dill","d-right",234
"phonetic categorization","exposure","dill_90.wav","till",90,"unlabeled","expo+20ms","A","A",2,"A",50,16.431676725155,"till","dill","d-right",234
"phonetic categorization","exposure","din_100.wav","tin",100,"labeled","expo+20ms","A","A",2,"A",50,16.431676725155,"till","tin","d-right",234
"phonetic categorization","exposure","din_110.wav","tin",110,"labeled","expo+20ms","A","A",2,"A",50,16.431676725155,"till","tin","d-right",234
