"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","list","mean","sd","left","right","option_setup","progress_bar"
"phonetic categorization","exposure","dill_40.wav","dill",40,"labeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_50.wav","dill",50,"labeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_50.wav","dill",50,"labeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_60.wav","dill",60,"labeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_35.wav","dill",35,"unlabeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","dill_45.wav","dill",45,"unlabeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","dill_45.wav","dill",45,"unlabeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","dill_45.wav","dill",45,"unlabeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","din_20.wav","din",20,"labeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_35.wav","din",35,"labeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_35.wav","din",35,"labeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_50.wav","din",50,"labeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_30.wav","din",30,"unlabeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","din_30.wav","din",30,"unlabeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","din_40.wav","din",40,"unlabeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","din_55.wav","din",55,"unlabeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","dip_40.wav","dip",40,"labeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_40.wav","dip",40,"labeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_45.wav","dip",45,"labeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_60.wav","dip",60,"labeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_40.wav","dip",40,"unlabeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_45.wav","dip",45,"unlabeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_45.wav","dip",45,"unlabeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_45.wav","dip",45,"unlabeled","expo+20ms","A","B",4,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dill_110.wav","till",110,"labeled","expo+20ms","A","B",4,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_75.wav","till",75,"labeled","expo+20ms","A","B",4,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_85.wav","till",85,"labeled","expo+20ms","A","B",4,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_90.wav","till",90,"labeled","expo+20ms","A","B",4,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_70.wav","till",70,"unlabeled","expo+20ms","A","B",4,"A",50,16.431676725155,"dill","till","d-left",234
"phonetic categorization","exposure","dill_80.wav","till",80,"unlabeled","expo+20ms","A","B",4,"A",50,16.431676725155,"dill","till","d-left",234
"phonetic categorization","exposure","dill_90.wav","till",90,"unlabeled","expo+20ms","A","B",4,"A",50,16.431676725155,"dill","till","d-left",234
"phonetic categorization","exposure","dill_90.wav","till",90,"unlabeled","expo+20ms","A","B",4,"A",50,16.431676725155,"dill","till","d-left",234
"phonetic categorization","exposure","din_105.wav","tin",105,"labeled","expo+20ms","A","B",4,"A",50,16.431676725155,"till","tin","d-left",234
"phonetic categorization","exposure","din_75.wav","tin",75,"labeled","expo+20ms","A","B",4,"A",50,16.431676725155,"till","tin","d-left",234
"phonetic categorization","exposure","din_80.wav","tin",80,"labeled","expo+20ms","A","B",4,"A",50,16.431676725155,"till","tin","d-left",234
"phonetic categorization","exposure","din_85.wav","tin",85,"labeled","expo+20ms","A","B",4,"A",50,16.431676725155,"till","tin","d-left",234
"phonetic categorization","exposure","din_80.wav","tin",80,"unlabeled","expo+20ms","A","B",4,"A",50,16.431676725155,"din","tin","d-left",234
"phonetic categorization","exposure","din_85.wav","tin",85,"unlabeled","expo+20ms","A","B",4,"A",50,16.431676725155,"din","tin","d-left",234
"phonetic categorization","exposure","din_90.wav","tin",90,"unlabeled","expo+20ms","A","B",4,"A",50,16.431676725155,"din","tin","d-left",234
"phonetic categorization","exposure","din_90.wav","tin",90,"unlabeled","expo+20ms","A","B",4,"A",50,16.431676725155,"din","tin","d-left",234
"phonetic categorization","exposure","dip_100.wav","tip",100,"labeled","expo+20ms","A","B",4,"A",50,16.431676725155,"tip","tin","d-left",234
"phonetic categorization","exposure","dip_110.wav","tip",110,"labeled","expo+20ms","A","B",4,"A",50,16.431676725155,"tip","tin","d-left",234
"phonetic categorization","exposure","dip_85.wav","tip",85,"labeled","expo+20ms","A","B",4,"A",50,16.431676725155,"tip","tin","d-left",234
"phonetic categorization","exposure","dip_85.wav","tip",85,"labeled","expo+20ms","A","B",4,"A",50,16.431676725155,"tip","tin","d-left",234
"phonetic categorization","exposure","dip_75.wav","tip",75,"unlabeled","expo+20ms","A","B",4,"A",50,16.431676725155,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_85.wav","tip",85,"unlabeled","expo+20ms","A","B",4,"A",50,16.431676725155,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_85.wav","tip",85,"unlabeled","expo+20ms","A","B",4,"A",50,16.431676725155,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_85.wav","tip",85,"unlabeled","expo+20ms","A","B",4,"A",50,16.431676725155,"dip","tip","d-left",234
"phonetic categorization","catch","flare.wav","flare",NA,NA,"expo+20ms","A","B",4,"A",NA,NA,"flare","share","d-left",234
"phonetic categorization","catch","flare.wav","flare",NA,NA,"expo+20ms","A","B",4,"A",NA,NA,"flare","share","d-left",234
"phonetic categorization","catch","rare.wav","rare",NA,NA,"expo+20ms","A","B",4,"A",NA,NA,"rare","flare","d-left",234
"phonetic categorization","catch","rare.wav","rare",NA,NA,"expo+20ms","A","B",4,"A",NA,NA,"rare","flare","d-left",234
"phonetic categorization","catch","share.wav","share",NA,NA,"expo+20ms","A","B",4,"A",NA,NA,"rare","share","d-left",234
"phonetic categorization","catch","share.wav","share",NA,NA,"expo+20ms","A","B",4,"A",NA,NA,"rare","share","d-left",234
