"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","list","mean","sd","left","right","option_setup","progress_bar"
"phonetic categorization","exposure","dill_35.wav","dill",35,"labeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_35.wav","dill",35,"labeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_45.wav","dill",45,"labeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_60.wav","dill",60,"labeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_25.wav","dill",25,"unlabeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","dill_45.wav","dill",45,"unlabeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","dill_45.wav","dill",45,"unlabeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","dill_55.wav","dill",55,"unlabeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","din_35.wav","din",35,"labeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_45.wav","din",45,"labeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_50.wav","din",50,"labeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_50.wav","din",50,"labeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_40.wav","din",40,"unlabeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","din_45.wav","din",45,"unlabeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","din_50.wav","din",50,"unlabeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","din_50.wav","din",50,"unlabeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","dip_35.wav","dip",35,"labeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_40.wav","dip",40,"labeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_45.wav","dip",45,"labeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_50.wav","dip",50,"labeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_20.wav","dip",20,"unlabeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_35.wav","dip",35,"unlabeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_40.wav","dip",40,"unlabeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_50.wav","dip",50,"unlabeled","expo+20ms","A","C",6,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dill_100.wav","till",100,"labeled","expo+20ms","A","C",6,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_110.wav","till",110,"labeled","expo+20ms","A","C",6,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_65.wav","till",65,"labeled","expo+20ms","A","C",6,"A",50,16.431676725155,"tin","till","d-left",234
