"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","list","mean","sd","left","right","option_setup","progress_bar"
"phonetic categorization","exposure","dill_15.wav","dill",15,"labeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_25.wav","dill",25,"labeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_5.wav","dill",5,"labeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_5.wav","dill",5,"labeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_15.wav","dill",15,"unlabeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","dill_25.wav","dill",25,"unlabeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","dill_5.wav","dill",5,"unlabeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","dill_5.wav","dill",5,"unlabeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","din_10.wav","din",10,"labeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_10.wav","din",10,"labeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_15.wav","din",15,"labeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_15.wav","din",15,"labeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_10.wav","din",10,"unlabeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","din_15.wav","din",15,"unlabeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","din_15.wav","din",15,"unlabeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","din_20.wav","din",20,"unlabeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","dip_0.wav","dip",0,"labeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_20.wav","dip",20,"labeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_30.wav","dip",30,"labeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_5.wav","dip",5,"labeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_10.wav","dip",10,"unlabeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_10.wav","dip",10,"unlabeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_20.wav","dip",20,"unlabeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_30.wav","dip",30,"unlabeled","expo-10ms","A","A",2,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dill_55.wav","till",55,"labeled","expo-10ms","A","A",2,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_65.wav","till",65,"labeled","expo-10ms","A","A",2,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_75.wav","till",75,"labeled","expo-10ms","A","A",2,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_85.wav","till",85,"labeled","expo-10ms","A","A",2,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_60.wav","till",60,"unlabeled","expo-10ms","A","A",2,"A",50,16.431676725155,"dill","till","d-left",234
"phonetic categorization","exposure","dill_70.wav","till",70,"unlabeled","expo-10ms","A","A",2,"A",50,16.431676725155,"dill","till","d-left",234
"phonetic categorization","exposure","dill_70.wav","till",70,"unlabeled","expo-10ms","A","A",2,"A",50,16.431676725155,"dill","till","d-left",234
"phonetic categorization","exposure","dill_75.wav","till",75,"unlabeled","expo-10ms","A","A",2,"A",50,16.431676725155,"dill","till","d-left",234
"phonetic categorization","exposure","din_50.wav","tin",50,"labeled","expo-10ms","A","A",2,"A",50,16.431676725155,"till","tin","d-left",234
"phonetic categorization","exposure","din_70.wav","tin",70,"labeled","expo-10ms","A","A",2,"A",50,16.431676725155,"till","tin","d-left",234
"phonetic categorization","exposure","din_80.wav","tin",80,"labeled","expo-10ms","A","A",2,"A",50,16.431676725155,"till","tin","d-left",234
"phonetic categorization","exposure","din_85.wav","tin",85,"labeled","expo-10ms","A","A",2,"A",50,16.431676725155,"till","tin","d-left",234
"phonetic categorization","exposure","din_50.wav","tin",50,"unlabeled","expo-10ms","A","A",2,"A",50,16.431676725155,"din","tin","d-left",234
"phonetic categorization","exposure","din_55.wav","tin",55,"unlabeled","expo-10ms","A","A",2,"A",50,16.431676725155,"din","tin","d-left",234
"phonetic categorization","exposure","din_55.wav","tin",55,"unlabeled","expo-10ms","A","A",2,"A",50,16.431676725155,"din","tin","d-left",234
"phonetic categorization","exposure","din_60.wav","tin",60,"unlabeled","expo-10ms","A","A",2,"A",50,16.431676725155,"din","tin","d-left",234
"phonetic categorization","exposure","dip_45.wav","tip",45,"labeled","expo-10ms","A","A",2,"A",50,16.431676725155,"tip","tin","d-left",234
"phonetic categorization","exposure","dip_55.wav","tip",55,"labeled","expo-10ms","A","A",2,"A",50,16.431676725155,"tip","tin","d-left",234
"phonetic categorization","exposure","dip_60.wav","tip",60,"labeled","expo-10ms","A","A",2,"A",50,16.431676725155,"tip","tin","d-left",234
"phonetic categorization","exposure","dip_60.wav","tip",60,"labeled","expo-10ms","A","A",2,"A",50,16.431676725155,"tip","tin","d-left",234
"phonetic categorization","exposure","dip_30.wav","tip",30,"unlabeled","expo-10ms","A","A",2,"A",50,16.431676725155,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_60.wav","tip",60,"unlabeled","expo-10ms","A","A",2,"A",50,16.431676725155,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_65.wav","tip",65,"unlabeled","expo-10ms","A","A",2,"A",50,16.431676725155,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_75.wav","tip",75,"unlabeled","expo-10ms","A","A",2,"A",50,16.431676725155,"dip","tip","d-left",234
"phonetic categorization","catch","flare.wav","flare",NA,NA,"expo-10ms","A","A",2,"A",NA,NA,"flare","share","d-left",234
"phonetic categorization","catch","flare.wav","flare",NA,NA,"expo-10ms","A","A",2,"A",NA,NA,"flare","share","d-left",234
"phonetic categorization","catch","rare.wav","rare",NA,NA,"expo-10ms","A","A",2,"A",NA,NA,"rare","flare","d-left",234
"phonetic categorization","catch","rare.wav","rare",NA,NA,"expo-10ms","A","A",2,"A",NA,NA,"rare","flare","d-left",234
"phonetic categorization","catch","share.wav","share",NA,NA,"expo-10ms","A","A",2,"A",NA,NA,"rare","share","d-left",234
"phonetic categorization","catch","share.wav","share",NA,NA,"expo-10ms","A","A",2,"A",NA,NA,"rare","share","d-left",234
