"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","list","mean","sd","left","right","option_setup","progress_bar"
"phonetic categorization","exposure","dill_10.wav","dill",10,"labeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_20.wav","dill",20,"labeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_20.wav","dill",20,"labeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_30.wav","dill",30,"labeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_15.wav","dill",15,"unlabeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","dill_15.wav","dill",15,"unlabeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","dill_15.wav","dill",15,"unlabeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","dill_5.wav","dill",5,"unlabeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","din_-10.wav","din",-10,"labeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_20.wav","din",20,"labeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_5.wav","din",5,"labeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_5.wav","din",5,"labeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_0.wav","din",0,"unlabeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","din_0.wav","din",0,"unlabeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","din_10.wav","din",10,"unlabeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","din_25.wav","din",25,"unlabeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","dip_10.wav","dip",10,"labeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_10.wav","dip",10,"labeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_15.wav","dip",15,"labeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_30.wav","dip",30,"labeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_10.wav","dip",10,"unlabeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_15.wav","dip",15,"unlabeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_15.wav","dip",15,"unlabeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_15.wav","dip",15,"unlabeled","expo-10ms","A","B",4,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dill_45.wav","till",45,"labeled","expo-10ms","A","B",4,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_55.wav","till",55,"labeled","expo-10ms","A","B",4,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_60.wav","till",60,"labeled","expo-10ms","A","B",4,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_80.wav","till",80,"labeled","expo-10ms","A","B",4,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_40.wav","till",40,"unlabeled","expo-10ms","A","B",4,"A",50,16.431676725155,"dill","till","d-left",234
"phonetic categorization","exposure","dill_50.wav","till",50,"unlabeled","expo-10ms","A","B",4,"A",50,16.431676725155,"dill","till","d-left",234
"phonetic categorization","exposure","dill_60.wav","till",60,"unlabeled","expo-10ms","A","B",4,"A",50,16.431676725155,"dill","till","d-left",234
"phonetic categorization","exposure","dill_60.wav","till",60,"unlabeled","expo-10ms","A","B",4,"A",50,16.431676725155,"dill","till","d-left",234
"phonetic categorization","exposure","din_45.wav","tin",45,"labeled","expo-10ms","A","B",4,"A",50,16.431676725155,"till","tin","d-left",234
"phonetic categorization","exposure","din_50.wav","tin",50,"labeled","expo-10ms","A","B",4,"A",50,16.431676725155,"till","tin","d-left",234
"phonetic categorization","exposure","din_55.wav","tin",55,"labeled","expo-10ms","A","B",4,"A",50,16.431676725155,"till","tin","d-left",234
"phonetic categorization","exposure","din_75.wav","tin",75,"labeled","expo-10ms","A","B",4,"A",50,16.431676725155,"till","tin","d-left",234
"phonetic categorization","exposure","din_50.wav","tin",50,"unlabeled","expo-10ms","A","B",4,"A",50,16.431676725155,"din","tin","d-left",234
"phonetic categorization","exposure","din_55.wav","tin",55,"unlabeled","expo-10ms","A","B",4,"A",50,16.431676725155,"din","tin","d-left",234
"phonetic categorization","exposure","din_60.wav","tin",60,"unlabeled","expo-10ms","A","B",4,"A",50,16.431676725155,"din","tin","d-left",234
"phonetic categorization","exposure","din_60.wav","tin",60,"unlabeled","expo-10ms","A","B",4,"A",50,16.431676725155,"din","tin","d-left",234
"phonetic categorization","exposure","dip_55.wav","tip",55,"labeled","expo-10ms","A","B",4,"A",50,16.431676725155,"tip","tin","d-left",234
"phonetic categorization","exposure","dip_55.wav","tip",55,"labeled","expo-10ms","A","B",4,"A",50,16.431676725155,"tip","tin","d-left",234
"phonetic categorization","exposure","dip_70.wav","tip",70,"labeled","expo-10ms","A","B",4,"A",50,16.431676725155,"tip","tin","d-left",234
"phonetic categorization","exposure","dip_80.wav","tip",80,"labeled","expo-10ms","A","B",4,"A",50,16.431676725155,"tip","tin","d-left",234
"phonetic categorization","exposure","dip_45.wav","tip",45,"unlabeled","expo-10ms","A","B",4,"A",50,16.431676725155,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_55.wav","tip",55,"unlabeled","expo-10ms","A","B",4,"A",50,16.431676725155,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_55.wav","tip",55,"unlabeled","expo-10ms","A","B",4,"A",50,16.431676725155,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_55.wav","tip",55,"unlabeled","expo-10ms","A","B",4,"A",50,16.431676725155,"dip","tip","d-left",234
"phonetic categorization","catch","flare.wav","flare",NA,NA,"expo-10ms","A","B",4,"A",NA,NA,"flare","share","d-left",234
"phonetic categorization","catch","flare.wav","flare",NA,NA,"expo-10ms","A","B",4,"A",NA,NA,"flare","share","d-left",234
"phonetic categorization","catch","rare.wav","rare",NA,NA,"expo-10ms","A","B",4,"A",NA,NA,"rare","flare","d-left",234
"phonetic categorization","catch","rare.wav","rare",NA,NA,"expo-10ms","A","B",4,"A",NA,NA,"rare","flare","d-left",234
"phonetic categorization","catch","share.wav","share",NA,NA,"expo-10ms","A","B",4,"A",NA,NA,"rare","share","d-left",234
"phonetic categorization","catch","share.wav","share",NA,NA,"expo-10ms","A","B",4,"A",NA,NA,"rare","share","d-left",234
