"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","list","mean","sd","left","right","option_setup","progress_bar"
"phonetic categorization","exposure","dill_-5.wav","dill",-5,"labeled","expo-20ms","A","A",2,"A",5,8.94427190999916,"dill","din","d-right",234
"phonetic categorization","exposure","dill_-5.wav","dill",-5,"labeled","expo-20ms","A","A",2,"A",5,8.94427190999916,"dill","din","d-right",234
"phonetic categorization","exposure","dill_15.wav","dill",15,"labeled","expo-20ms","A","A",2,"A",5,8.94427190999916,"dill","din","d-right",234
"phonetic categorization","exposure","dill_5.wav","dill",5,"labeled","expo-20ms","A","A",2,"A",5,8.94427190999916,"dill","din","d-right",234
"phonetic categorization","exposure","dill_-5.wav","dill",-5,"unlabeled","expo-20ms","A","A",2,"A",5,8.94427190999916,"till","dill","d-right",234
"phonetic categorization","exposure","dill_-5.wav","dill",-5,"unlabeled","expo-20ms","A","A",2,"A",5,8.94427190999916,"till","dill","d-right",234
"phonetic categorization","exposure","dill_15.wav","dill",15,"unlabeled","expo-20ms","A","A",2,"A",5,8.94427190999916,"till","dill","d-right",234
"phonetic categorization","exposure","dill_5.wav","dill",5,"unlabeled","expo-20ms","A","A",2,"A",5,8.94427190999916,"till","dill","d-right",234
"phonetic categorization","exposure","din_0.wav","din",0,"labeled","expo-20ms","A","A",2,"A",5,8.94427190999916,"din","dill","d-right",234
"phonetic categorization","exposure","din_0.wav","din",0,"labeled","expo-20ms","A","A",2,"A",5,8.94427190999916,"din","dill","d-right",234
"phonetic categorization","exposure","din_5.wav","din",5,"labeled","expo-20ms","A","A",2,"A",5,8.94427190999916,"din","dill","d-right",234
"phonetic categorization","exposure","din_5.wav","din",5,"labeled","expo-20ms","A","A",2,"A",5,8.94427190999916,"din","dill","d-right",234
"phonetic categorization","exposure","din_0.wav","din",0,"unlabeled","expo-20ms","A","A",2,"A",5,8.94427190999916,"tin","din","d-right",234
"phonetic categorization","exposure","din_10.wav","din",10,"unlabeled","expo-20ms","A","A",2,"A",5,8.94427190999916,"tin","din","d-right",234
"phonetic categorization","exposure","din_5.wav","din",5,"unlabeled","expo-20ms","A","A",2,"A",5,8.94427190999916,"tin","din","d-right",234
"phonetic categorization","exposure","din_5.wav","din",5,"unlabeled","expo-20ms","A","A",2,"A",5,8.94427190999916,"tin","din","d-right",234
