"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","list","mean","sd","left","right","option_setup","progress_bar"
"phonetic categorization","exposure","dill_0.wav","dill",0,"labeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"dill","din","d-right",234
"phonetic categorization","exposure","dill_10.wav","dill",10,"labeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"dill","din","d-right",234
"phonetic categorization","exposure","dill_10.wav","dill",10,"labeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"dill","din","d-right",234
"phonetic categorization","exposure","dill_20.wav","dill",20,"labeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"dill","din","d-right",234
"phonetic categorization","exposure","dill_-5.wav","dill",-5,"unlabeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"till","dill","d-right",234
"phonetic categorization","exposure","dill_5.wav","dill",5,"unlabeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"till","dill","d-right",234
"phonetic categorization","exposure","dill_5.wav","dill",5,"unlabeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"till","dill","d-right",234
"phonetic categorization","exposure","dill_5.wav","dill",5,"unlabeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"till","dill","d-right",234
"phonetic categorization","exposure","din_-20.wav","din",-20,"labeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"din","dill","d-right",234
"phonetic categorization","exposure","din_-5.wav","din",-5,"labeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"din","dill","d-right",234
"phonetic categorization","exposure","din_-5.wav","din",-5,"labeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"din","dill","d-right",234
"phonetic categorization","exposure","din_10.wav","din",10,"labeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"din","dill","d-right",234
"phonetic categorization","exposure","din_-10.wav","din",-10,"unlabeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"tin","din","d-right",234
"phonetic categorization","exposure","din_-10.wav","din",-10,"unlabeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"tin","din","d-right",234
"phonetic categorization","exposure","din_0.wav","din",0,"unlabeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"tin","din","d-right",234
"phonetic categorization","exposure","din_15.wav","din",15,"unlabeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"tin","din","d-right",234
"phonetic categorization","exposure","dip_0.wav","dip",0,"labeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"din","dip","d-right",234
"phonetic categorization","exposure","dip_0.wav","dip",0,"labeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"din","dip","d-right",234
"phonetic categorization","exposure","dip_20.wav","dip",20,"labeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"din","dip","d-right",234
"phonetic categorization","exposure","dip_5.wav","dip",5,"labeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"din","dip","d-right",234
"phonetic categorization","exposure","dip_0.wav","dip",0,"unlabeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"tip","dip","d-right",234
"phonetic categorization","exposure","dip_5.wav","dip",5,"unlabeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"tip","dip","d-right",234
"phonetic categorization","exposure","dip_5.wav","dip",5,"unlabeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"tip","dip","d-right",234
"phonetic categorization","exposure","dip_5.wav","dip",5,"unlabeled","expo-20ms","A","B",4,"A",5,8.94427190999916,"tip","dip","d-right",234
"phonetic categorization","exposure","dill_35.wav","till",35,"labeled","expo-20ms","A","B",4,"A",50,16.431676725155,"tin","till","d-right",234
"phonetic categorization","exposure","dill_45.wav","till",45,"labeled","expo-20ms","A","B",4,"A",50,16.431676725155,"tin","till","d-right",234
"phonetic categorization","exposure","dill_50.wav","till",50,"labeled","expo-20ms","A","B",4,"A",50,16.431676725155,"tin","till","d-right",234
"phonetic categorization","exposure","dill_70.wav","till",70,"labeled","expo-20ms","A","B",4,"A",50,16.431676725155,"tin","till","d-right",234
"phonetic categorization","exposure","dill_30.wav","till",30,"unlabeled","expo-20ms","A","B",4,"A",50,16.431676725155,"till","dill","d-right",234
"phonetic categorization","exposure","dill_40.wav","till",40,"unlabeled","expo-20ms","A","B",4,"A",50,16.431676725155,"till","dill","d-right",234
"phonetic categorization","exposure","dill_50.wav","till",50,"unlabeled","expo-20ms","A","B",4,"A",50,16.431676725155,"till","dill","d-right",234
"phonetic categorization","exposure","dill_50.wav","till",50,"unlabeled","expo-20ms","A","B",4,"A",50,16.431676725155,"till","dill","d-right",234
"phonetic categorization","exposure","din_35.wav","tin",35,"labeled","expo-20ms","A","B",4,"A",50,16.431676725155,"till","tin","d-right",234
"phonetic categorization","exposure","din_40.wav","tin",40,"labeled","expo-20ms","A","B",4,"A",50,16.431676725155,"till","tin","d-right",234
