"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","list","mean","sd","left","right","option_setup","progress_bar"
"phonetic categorization","exposure","dill_-5.wav","dill",-5,"labeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_-5.wav","dill",-5,"labeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_20.wav","dill",20,"labeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_5.wav","dill",5,"labeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"dill","din","d-left",234
"phonetic categorization","exposure","dill_-15.wav","dill",-15,"unlabeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","dill_15.wav","dill",15,"unlabeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","dill_5.wav","dill",5,"unlabeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","dill_5.wav","dill",5,"unlabeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"dill","till","d-left",234
"phonetic categorization","exposure","din_-5.wav","din",-5,"labeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_10.wav","din",10,"labeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_10.wav","din",10,"labeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_5.wav","din",5,"labeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"din","dill","d-left",234
"phonetic categorization","exposure","din_0.wav","din",0,"unlabeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","din_10.wav","din",10,"unlabeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","din_10.wav","din",10,"unlabeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","din_5.wav","din",5,"unlabeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"din","tin","d-left",234
"phonetic categorization","exposure","dip_-5.wav","dip",-5,"labeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_0.wav","dip",0,"labeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_10.wav","dip",10,"labeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_5.wav","dip",5,"labeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"din","dip","d-left",234
"phonetic categorization","exposure","dip_-20.wav","dip",-20,"unlabeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_-5.wav","dip",-5,"unlabeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_0.wav","dip",0,"unlabeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dip_10.wav","dip",10,"unlabeled","expo-20ms","A","C",6,"A",5,8.94427190999916,"dip","tip","d-left",234
"phonetic categorization","exposure","dill_25.wav","till",25,"labeled","expo-20ms","A","C",6,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_50.wav","till",50,"labeled","expo-20ms","A","C",6,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_60.wav","till",60,"labeled","expo-20ms","A","C",6,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_70.wav","till",70,"labeled","expo-20ms","A","C",6,"A",50,16.431676725155,"tin","till","d-left",234
"phonetic categorization","exposure","dill_35.wav","till",35,"unlabeled","expo-20ms","A","C",6,"A",50,16.431676725155,"dill","till","d-left",234
"phonetic categorization","exposure","dill_45.wav","till",45,"unlabeled","expo-20ms","A","C",6,"A",50,16.431676725155,"dill","till","d-left",234
"phonetic categorization","exposure","dill_55.wav","till",55,"unlabeled","expo-20ms","A","C",6,"A",50,16.431676725155,"dill","till","d-left",234
