display,trial_type,filename,word,VOT,label,condition,list_LSQ_variant,blockID,block,list,mean,sd,left,right,option_setup
exposure,exposure,dill_-5.wav,dill,-5,labeled,expo-20ms,A,A,2,A,5,8.94427191,dill,din,d-left
exposure,exposure,dill_-5.wav,dill,-5,labeled,expo-20ms,A,A,2,A,5,8.94427191,dill,din,d-left
exposure,exposure,dill_15.wav,dill,15,labeled,expo-20ms,A,A,2,A,5,8.94427191,dill,din,d-left
exposure,exposure,dill_5.wav,dill,5,labeled,expo-20ms,A,A,2,A,5,8.94427191,dill,din,d-left
exposure,exposure,dill_-5.wav,dill,-5,unlabeled,expo-20ms,A,A,2,A,5,8.94427191,dill,till,d-left
exposure,exposure,dill_-5.wav,dill,-5,unlabeled,expo-20ms,A,A,2,A,5,8.94427191,dill,till,d-left
exposure,exposure,dill_15.wav,dill,15,unlabeled,expo-20ms,A,A,2,A,5,8.94427191,dill,till,d-left
exposure,exposure,dill_5.wav,dill,5,unlabeled,expo-20ms,A,A,2,A,5,8.94427191,dill,till,d-left
exposure,exposure,din_0.wav,din,0,labeled,expo-20ms,A,A,2,A,5,8.94427191,din,dill,d-left
exposure,exposure,din_0.wav,din,0,labeled,expo-20ms,A,A,2,A,5,8.94427191,din,dill,d-left
exposure,exposure,din_5.wav,din,5,labeled,expo-20ms,A,A,2,A,5,8.94427191,din,dill,d-left
exposure,exposure,din_5.wav,din,5,labeled,expo-20ms,A,A,2,A,5,8.94427191,din,dill,d-left
exposure,exposure,din_0.wav,din,0,unlabeled,expo-20ms,A,A,2,A,5,8.94427191,din,tin,d-left
exposure,exposure,din_10.wav,din,10,unlabeled,expo-20ms,A,A,2,A,5,8.94427191,din,tin,d-left
exposure,exposure,din_5.wav,din,5,unlabeled,expo-20ms,A,A,2,A,5,8.94427191,din,tin,d-left
exposure,exposure,din_5.wav,din,5,unlabeled,expo-20ms,A,A,2,A,5,8.94427191,din,tin,d-left
exposure,exposure,dip_-10.wav,dip,-10,labeled,expo-20ms,A,A,2,A,5,8.94427191,din,dip,d-left
exposure,exposure,dip_-5.wav,dip,-5,labeled,expo-20ms,A,A,2,A,5,8.94427191,din,dip,d-left
exposure,exposure,dip_10.wav,dip,10,labeled,expo-20ms,A,A,2,A,5,8.94427191,din,dip,d-left
exposure,exposure,dip_20.wav,dip,20,labeled,expo-20ms,A,A,2,A,5,8.94427191,din,dip,d-left
exposure,exposure,dip_0.wav,dip,0,unlabeled,expo-20ms,A,A,2,A,5,8.94427191,dip,tip,d-left
exposure,exposure,dip_0.wav,dip,0,unlabeled,expo-20ms,A,A,2,A,5,8.94427191,dip,tip,d-left
