VOT,center,block,condition,label,word,stage,session,randomized_trial
-5,NA,3,NA,NA,din,test3,test,test3
5,NA,3,NA,NA,din,test3,test,test3
15,NA,3,NA,NA,din,test3,test,test3
25,NA,3,NA,NA,din,test3,test,test3
30,NA,3,NA,NA,dip,test3,test,test3
35,NA,3,NA,NA,dip,test3,test,test3
40,NA,3,NA,NA,dip,test3,test,test3
45,NA,3,NA,NA,dip,test3,test,test3
50,NA,3,NA,NA,dil,test3,test,test3
55,NA,3,NA,NA,dil,test3,test,test3
65,NA,3,NA,NA,dil,test3,test,test3
70,NA,3,NA,NA,dil,test3,test,test3
-10,d,3,c1,1,dil,exposure3,exposure,exposure3
-10,d,3,c1,0,dip,exposure3,exposure,exposure3
-5,d,3,c1,1,din,exposure3,exposure,exposure3
-5,d,3,c1,0,din,exposure3,exposure,exposure3
0,d,3,c1,0,dil,exposure3,exposure,exposure3
0,d,3,c1,1,dil,exposure3,exposure,exposure3
0,d,3,c1,1,din,exposure3,exposure,exposure3
0,d,3,c1,1,dip,exposure3,exposure,exposure3
0,d,3,c1,1,dip,exposure3,exposure,exposure3
5,d,3,c1,1,dip,exposure3,exposure,exposure3
5,d,3,c1,0,din,exposure3,exposure,exposure3
5,d,3,c1,1,dil,exposure3,exposure,exposure3
5,d,3,c1,0,din,exposure3,exposure,exposure3
5,d,3,c1,0,dil,exposure3,exposure,exposure3
5,d,3,c1,0,dip,exposure3,exposure,exposure3
10,d,3,c1,1,dip,exposure3,exposure,exposure3
10,d,3,c1,1,din,exposure3,exposure,exposure3
10,d,3,c1,0,dip,exposure3,exposure,exposure3
10,d,3,c1,0,dil,exposure3,exposure,exposure3
10,d,3,c1,1,dil,exposure3,exposure,exposure3
10,d,3,c1,0,dip,exposure3,exposure,exposure3
10,d,3,c1,0,din,exposure3,exposure,exposure3
15,d,3,c1,0,dil,exposure3,exposure,exposure3
15,d,3,c1,1,din,exposure3,exposure,exposure3
30,t,3,c1,1,din,exposure3,exposure,exposure3
30,t,3,c1,1,din,exposure3,exposure,exposure3
35,t,3,c1,0,dip,exposure3,exposure,exposure3
35,t,3,c1,0,dil,exposure3,exposure,exposure3
35,t,3,c1,0,dil,exposure3,exposure,exposure3
35,t,3,c1,0,dip,exposure3,exposure,exposure3
40,t,3,c1,0,dip,exposure3,exposure,exposure3
40,t,3,c1,1,dil,exposure3,exposure,exposure3
40,t,3,c1,0,din,exposure3,exposure,exposure3
40,t,3,c1,1,din,exposure3,exposure,exposure3
45,t,3,c1,0,dip,exposure3,exposure,exposure3
45,t,3,c1,1,dil,exposure3,exposure,exposure3
45,t,3,c1,1,dil,exposure3,exposure,exposure3
45,t,3,c1,1,dip,exposure3,exposure,exposure3
45,t,3,c1,1,din,exposure3,exposure,exposure3
50,t,3,c1,0,din,exposure3,exposure,exposure3
50,t,3,c1,0,dil,exposure3,exposure,exposure3
55,t,3,c1,0,din,exposure3,exposure,exposure3
55,t,3,c1,1,dip,exposure3,exposure,exposure3
55,t,3,c1,1,dil,exposure3,exposure,exposure3
55,t,3,c1,1,dip,exposure3,exposure,exposure3
70,t,3,c1,1,dip,exposure3,exposure,exposure3
75,t,3,c1,0,dil,exposure3,exposure,exposure3
80,t,3,c1,0,din,exposure3,exposure,exposure3
NA,left,3,c1,0,left,exposure3,exposure,exposure3
NA,left,3,c1,1,left,exposure3,exposure,exposure3
NA,left,3,c1,0,left,exposure3,exposure,exposure3
NA,right,3,c1,1,right,exposure3,exposure,exposure3
NA,right,3,c1,0,right,exposure3,exposure,exposure3
NA,right,3,c1,1,right,exposure3,exposure,exposure3
-5,NA,4,NA,NA,dil,test4,test,test4
5,NA,4,NA,NA,dil,test4,test,test4
15,NA,4,NA,NA,dil,test4,test,test4
25,NA,4,NA,NA,dil,test4,test,test4
30,NA,4,NA,NA,din,test4,test,test4
35,NA,4,NA,NA,din,test4,test,test4
40,NA,4,NA,NA,din,test4,test,test4
45,NA,4,NA,NA,din,test4,test,test4
50,NA,4,NA,NA,dip,test4,test,test4
55,NA,4,NA,NA,dip,test4,test,test4
65,NA,4,NA,NA,dip,test4,test,test4
70,NA,4,NA,NA,dip,test4,test,test4
-20,d,1,c1,1,din,exposure1,exposure,exposure1
-10,d,1,c1,0,dil,exposure1,exposure,exposure1
-5,d,1,c1,1,dip,exposure1,exposure,exposure1
-5,d,1,c1,0,dip,exposure1,exposure,exposure1
0,d,1,c1,0,dil,exposure1,exposure,exposure1
0,d,1,c1,1,dip,exposure1,exposure,exposure1
0,d,1,c1,1,dil,exposure1,exposure,exposure1
0,d,1,c1,1,din,exposure1,exposure,exposure1
5,d,1,c1,0,din,exposure1,exposure,exposure1
5,d,1,c1,0,dip,exposure1,exposure,exposure1
5,d,1,c1,1,din,exposure1,exposure,exposure1
5,d,1,c1,1,dil,exposure1,exposure,exposure1
5,d,1,c1,1,dil,exposure1,exposure,exposure1
5,d,1,c1,0,din,exposure1,exposure,exposure1
10,d,1,c1,1,din,exposure1,exposure,exposure1
10,d,1,c1,1,dil,exposure1,exposure,exposure1
15,d,1,c1,0,dip,exposure1,exposure,exposure1
15,d,1,c1,1,dip,exposure1,exposure,exposure1
15,d,1,c1,0,din,exposure1,exposure,exposure1
15,d,1,c1,0,dil,exposure1,exposure,exposure1
15,d,1,c1,0,dil,exposure1,exposure,exposure1
20,d,1,c1,0,din,exposure1,exposure,exposure1
20,d,1,c1,0,dip,exposure1,exposure,exposure1
20,d,1,c1,1,dip,exposure1,exposure,exposure1
30,t,1,c1,0,dip,exposure1,exposure,exposure1
30,t,1,c1,0,din,exposure1,exposure,exposure1
30,t,1,c1,1,din,exposure1,exposure,exposure1
30,t,1,c1,1,dip,exposure1,exposure,exposure1
30,t,1,c1,1,dil,exposure1,exposure,exposure1
35,t,1,c1,1,dil,exposure1,exposure,exposure1
40,t,1,c1,0,dip,exposure1,exposure,exposure1
40,t,1,c1,0,dip,exposure1,exposure,exposure1
40,t,1,c1,0,din,exposure1,exposure,exposure1
45,t,1,c1,0,dil,exposure1,exposure,exposure1
50,t,1,c1,0,dil,exposure1,exposure,exposure1
50,t,1,c1,1,dil,exposure1,exposure,exposure1
50,t,1,c1,1,dip,exposure1,exposure,exposure1
55,t,1,c1,0,din,exposure1,exposure,exposure1
55,t,1,c1,0,din,exposure1,exposure,exposure1
60,t,1,c1,0,dil,exposure1,exposure,exposure1
60,t,1,c1,0,dip,exposure1,exposure,exposure1
60,t,1,c1,1,dip,exposure1,exposure,exposure1
60,t,1,c1,1,din,exposure1,exposure,exposure1
60,t,1,c1,1,dil,exposure1,exposure,exposure1
65,t,1,c1,1,din,exposure1,exposure,exposure1
65,t,1,c1,0,dil,exposure1,exposure,exposure1
70,t,1,c1,1,dip,exposure1,exposure,exposure1
75,t,1,c1,1,din,exposure1,exposure,exposure1
NA,left,1,c1,0,left,exposure1,exposure,exposure1
NA,left,1,c1,1,left,exposure1,exposure,exposure1
NA,left,1,c1,0,left,exposure1,exposure,exposure1
NA,right,1,c1,1,right,exposure1,exposure,exposure1
NA,right,1,c1,0,right,exposure1,exposure,exposure1
NA,right,1,c1,1,right,exposure1,exposure,exposure1
-5,NA,5,NA,NA,dip,test5,test,test5
5,NA,5,NA,NA,dip,test5,test,test5
15,NA,5,NA,NA,dip,test5,test,test5
25,NA,5,NA,NA,dip,test5,test,test5
30,NA,5,NA,NA,dil,test5,test,test5
35,NA,5,NA,NA,dil,test5,test,test5
40,NA,5,NA,NA,dil,test5,test,test5
45,NA,5,NA,NA,dil,test5,test,test5
50,NA,5,NA,NA,din,test5,test,test5
55,NA,5,NA,NA,din,test5,test,test5
65,NA,5,NA,NA,din,test5,test,test5
70,NA,5,NA,NA,din,test5,test,test5
-10,d,2,c1,1,din,exposure2,exposure,exposure2
-5,d,2,c1,1,din,exposure2,exposure,exposure2
-5,d,2,c1,1,din,exposure2,exposure,exposure2
-5,d,2,c1,1,dip,exposure2,exposure,exposure2
0,d,2,c1,1,dip,exposure2,exposure,exposure2
0,d,2,c1,0,dil,exposure2,exposure,exposure2
