display,word,stim,VOT,center,block,condition,label,session,stage,randomized_trial,left,right,word_display
instructions,,,,,,,,,,,d,t,blank.jpeg
practice,,din_-15.wav,,,,,,,,,d,t,blank.jpeg
practice,,dill_+110.wav,,,,,,,,,d,t,blank.jpeg
practice,,dip_+105.wav,,,,,,,,,d,t,blank.jpeg
practice,,dill_+115.wav,,,,,,,,,d,t,blank.jpeg
practice,,din_+130.wav,,,,,,,,,d,t,blank.jpeg
preparation buffer,,,,,,,,,,,d,t,blank.jpeg
,dill,dill_-5.wav,-5,,4,,,test,test4,test4,d,t,blank.jpeg
,dill,dill_+5.wav,5,,4,,,test,test4,test4,d,t,blank.jpeg
,dill,dill_+15.wav,15,,4,,,test,test4,test4,d,t,blank.jpeg
,dill,dill_+25.wav,25,,4,,,test,test4,test4,d,t,blank.jpeg
,din,din_+30.wav,30,,4,,,test,test4,test4,d,t,blank.jpeg
,din,din_+35.wav,35,,4,,,test,test4,test4,d,t,blank.jpeg
,din,din_+40.wav,40,,4,,,test,test4,test4,d,t,blank.jpeg
,din,din_+45.wav,45,,4,,,test,test4,test4,d,t,blank.jpeg
,dip,dip_+50.wav,50,,4,,,test,test4,test4,d,t,blank.jpeg
,dip,dip_+55.wav,55,,4,,,test,test4,test4,d,t,blank.jpeg
,dip,dip_+65.wav,65,,4,,,test,test4,test4,d,t,blank.jpeg
,dip,dip_+70.wav,70,,4,,,test,test4,test4,d,t,blank.jpeg
,dill,dill_+0.wav,0,d,3,c2,1,exposure,exposure3,exposure3,d,t,dill_leftd.jpeg
,dip,dip_+0.wav,0,d,3,c2,0,exposure,exposure3,exposure3,d,t,blank.jpeg
,din,din_+0.wav,0,t,3,c2,0,exposure,exposure3,exposure3,d,t,blank.jpeg
,dill,dill_+5.wav,5,d,3,c2,0,exposure,exposure3,exposure3,d,t,blank.jpeg
,din,din_+5.wav,5,d,3,c2,1,exposure,exposure3,exposure3,d,t,din_leftd.jpeg
,dill,dill_+10.wav,10,d,3,c2,0,exposure,exposure3,exposure3,d,t,blank.jpeg
,dill,dill_+10.wav,10,d,3,c2,1,exposure,exposure3,exposure3,d,t,dill_leftd.jpeg
,din,din_+10.wav,10,d,3,c2,1,exposure,exposure3,exposure3,d,t,din_leftd.jpeg
,dip,dip_+10.wav,10,d,3,c2,1,exposure,exposure3,exposure3,d,t,dip_leftd.jpeg
,dip,dip_+10.wav,10,d,3,c2,1,exposure,exposure3,exposure3,d,t,dip_leftd.jpeg
