participant.condition,exp_stageID,group_PSE_median,group_PSE_lower,group_PSE_upper,ci_width,PSE_test1,expected_pse_exposure,pct,pct_label,block_type,expected_pse_test
expo+20ms,Test 1,47.27272727272729,32.87878787878788,64.69696969696972,31.818181818181834,47.27272727272729,NA,0,0.0%,Test,64.59
expo+20ms,Exposure 1,54.6969696969697,40.05050505050505,72.27272727272728,32.22222222222223,47.27272727272729,64.49,0.4312089691465582,43.1%,Exposure,NA
expo+20ms,Test 2,51.06060606060607,38.18181818181819,66.96969696969698,28.787878787878796,47.27272727272729,NA,0.21873414177472114,21.9%,Test,64.59
expo+20ms,Exposure 2,56.16161616161617,42.94318181818185,72.27272727272728,29.329545454545432,47.27272727272729,64.49,0.516277405236696,51.6%,Exposure,NA
expo+20ms,Test 3,52.57575757575758,36.66666666666667,70,33.33333333333333,47.27272727272729,NA,0.30622779848460935,30.6%,Test,64.59
expo+20ms,Exposure 3,56.16161616161617,41.515151515151516,72.27272727272728,30.757575757575765,47.27272727272729,64.49,0.516277405236696,51.6%,Exposure,NA
expo+20ms,Test 4,53.33333333333334,36.66666666666667,70,33.33333333333333,47.27272727272729,NA,0.34997462683955405,35.0%,Test,64.59
expo+20ms,Test 5,48.03030303030304,31.36363636363637,67.72727272727275,36.363636363636374,47.27272727272729,NA,0.043746828354943895,4.4%,Test,64.59
expo+20ms,Test 6,48.03030303030304,30.60606060606061,70,39.39393939393939,47.27272727272729,NA,0.043746828354943895,4.4%,Test,64.59
expo-10ms,Test 1,47.27272727272729,30.60606060606061,67.72727272727275,37.12121212121214,47.27272727272729,NA,-0,-0.0%,Test,34.53
expo-10ms,Exposure 1,45.909090909090914,31.262626262626267,60.555555555555564,29.292929292929298,47.27272727272729,34.35,0.10552233556102777,10.6%,Exposure,NA
expo-10ms,Test 2,41.96969696969698,25.303030303030305,57.87878787878789,32.575757575757585,47.27272727272729,NA,0.4161613279113454,41.6%,Test,34.53
expo-10ms,Exposure 2,42.97979797979798,26.868686868686872,59.09090909090909,32.22222222222222,47.27272727272729,34.35,0.33219994528471575,33.2%,Exposure,NA
expo-10ms,Test 3,41.96969696969698,27.575757575757578,55.60606060606061,28.03030303030303,47.27272727272729,NA,0.4161613279113454,41.6%,Test,34.53
expo-10ms,Exposure 3,42.97979797979798,26.868686868686872,57.62626262626263,30.757575757575758,47.27272727272729,34.35,0.33219994528471575,33.2%,Exposure,NA
expo-10ms,Test 4,39.696969696969695,25.303030303030305,54.0909090909091,28.787878787878796,47.27272727272729,NA,0.5945161827304946,59.5%,Test,34.53
expo-10ms,Test 5,43.48484848484849,29.090909090909093,57.87878787878789,28.787878787878796,47.27272727272729,NA,0.2972580913652473,29.7%,Test,34.53
expo-10ms,Test 6,41.21212121212122,25.303030303030305,56.363636363636374,31.06060606060607,47.27272727272729,NA,0.4756129461843953,47.6%,Test,34.53
expo-20ms,Test 1,45,26.060606060606066,70,43.93939393939394,45,NA,-0,-0.0%,Test,24.49
expo-20ms,Exposure 1,40.05050505050505,23.939393939393945,57.62626262626263,33.686868686868685,45,24.83,0.2453889414722334,24.5%,Exposure,NA
expo-20ms,Test 2,33.63636363636364,11.666666666666668,51.81818181818183,40.151515151515156,45,NA,0.5540534550773456,55.4%,Test,24.49
expo-20ms,Exposure 2,35.65656565656566,16.61616161616162,53.26893939393887,36.65277777777725,45,24.83,0.4632342262486038,46.3%,Exposure,NA
expo-20ms,Test 3,38.18181818181819,18.484848484848488,56.363636363636374,37.87878787878789,45,NA,0.33243207304640726,33.2%,Test,24.49
expo-20ms,Exposure 3,37.121212121212125,16.61616161616162,56.16161616161617,39.545454545454554,45,24.83,0.39061913132314696,39.1%,Exposure,NA
expo-20ms,Test 4,36.66666666666667,16.212121212121215,54.84848484848486,38.63636363636364,45,NA,0.40630586705672006,40.6%,Test,24.49
expo-20ms,Test 5,38.18181818181819,20.75757575757576,54.84848484848486,34.09090909090909,45,NA,0.33243207304640726,33.2%,Test,24.49
expo-20ms,Test 6,38.18181818181819,17.727272727272727,57.12121212121214,39.39393939393941,45,NA,0.33243207304640726,33.2%,Test,24.49
