block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10
buy,bin,share,seat,bin,net,tie,bond,vine,die
flare,sing,pin,share,role,dune,rare,till,tin,bore
van,pie,bun,peak,dense,bill,din,just,wheel,pie
bay,dale,jet,tusk,pill,die,gain,van,heat,ring
dill,wool,peak,hare,coat,din,pie,pin,dense,ghost
role,bat,shop,came,came,tense,time,pace,pin,dune
sing,hare,cane,pace,bay,peak,mop,pore,right,shop
wine,cane,bond,dill,wheel,goat,yawn,bat,must,tin
dime,hole,wheel,shop,pie,dime,coast,game,dune,gain
light,dip,bore,tale,peak,tale,neat,chop,net,bun
neat,base,die,van,heat,lap,tune,full,came,heel
chop,tense,hare,lap,bore,hop,right,hare,dime,dale
jet,goat,hole,heel,gain,ghost,coal,pun,meat,bin
mop,wine,time,dime,time,neat,tusk,yawn,shop,seat
lawn,lawn,buy,vine,tip,van,must,coast,map,must
pun,ghost,pill,right,pun,coal,pond,gain,flare,lawn
tie,tin,tune,bin,lawn,wheel,heat,heel,dusk,map
lap,till,din,buy,shop,hole,map,vine,buy,rare
coast,map,coat,pill,pace,seat,pin,bay,pore,fan
must,van,ghost,tune,rare,full,game,dusk,dale,pat
tip,bun,heat,role,flare,yawn,pay,jet,wool,beak
heat,bay,just,bat,pat,game,pat,dune,coast,meat
tune,just,light,cane,die,bin,wine,tin,hole,pond
game,bill,till,hop,lap,sing,dale,dale,beak,right
cane,meat,bat,wool,just,chop,goat,lap,mop,jet
tense,beak,pace,just,net,dill,base,tense,till,time
goal,goal,pay,dip,ghost,pat,net,neat,ring,wool
pin,seat,map,meat,wine,pay,sing,ring,base,base
base,tie,dusk,pore,sing,pie,role,buy,tie,dense
full,game,vine,bay,dusk,vine,fan,beak,coat,flare
din,bond,coal,die,meat,pace,tense,tie,yawn,came
coat,dime,ring,bun,tale,must,tip,pill,pay,goat
bond,bore,yawn,bond,coal,pond,bill,coal,pill,pay
pore,light,dip,ring,mop,light,dill,tip,gain,till
tale,tusk,mop,coat,fan,share,chop,hop,pun,wine
wheel,jet,fan,tin,dill,pore,hare,goat,pond,bill
dusk,hop,neat,dense,full,cane,full,seat,fan,role
pat,share,tale,lawn,pond,tusk,bun,time,dip,dip
peak,heel,wool,goal,din,tip,beak,hole,bat,tusk
rare,chop,came,net,dune,pun,bore,rare,goal,hop
bill,tune,dense,coast,light,share,heel,right,flare,goal
