critical_voiced,critical_voiceless,fillerA,fillerB,catch
base,pace,fan,van,flare
bay,pay,jet,net,share
bore,pore,light,right,hare
buy,pie,seat,heat,rare
bat,pat,shop,chop,
beak,peak,full,wool,
bill,pill,heel,wheel,
bin,pin,lawn,yawn,
bond,pond,just,must,
bun,pun,role,hole,
dale,tale,map,lap,
dune,tune,sing,ring,
die,tie,hop,mop,
dime,time,vine,wine,
dense,tense,meat,neat,
dusk,tusk,,,
dip,tip,,,
dill,till,,,
din,tin,,,
gain,cane,,,
goal,coal,,,
ghost,coast,,,
goat,coat,,,
game,came,,,
