files,VOT_ms,VOT_s,F0,dur,1/4_dur
bill_bk1.wav,-126,-0.126,102,0.375,0.09375
bill_bk10.wav,-88,-0.088,97.26,0.3509,0.087725
bill_bk2.wav,-94.6,-0.0946,101,0.3874,0.09685
bill_bk6.wav,-87.1,-0.0871,94.83,0.3448,0.0862
bill_bk7.wav,-67.1,-0.0671,105.7,0.3884,0.0971
bin_bk10.wav,-86.8,-0.0868,,,
bin_bk2.wav,-95.4,-0.0954,,,
bin_bk4.wav,-6.74,-0.00674,,,
bin_bk5.wav,-116.9,-0.1169,,,
bin_bk6.wav,-44,-0.044,,,
pill_bk3.wav,43.4,0.0434,111.1,0.4052,0.1013
pill_bk4.wav,67.6,0.0676,116.9,0.4116,0.1029
pill_bk5.wav,50.1,0.0501,117.9,0.3753,0.093825
pill_bk8.wav,94.7,0.0947,105.7,0.46,0.115
pill_bk9.wav,34,0.034,106.5,0.3809,0.095225
pin_bk1.wav,73.4,0.0734,,,
pin_bk3.wav,58.1,0.0581,,,
pin_bk7.wav,65.5,0.0655,,,
pin_bk8.wav,100.7,0.1007,,,
pin_bk9.wav,45.6,0.0456,,,
