pair,stem,vot_ms,file_duration_ms,vowel_onset_s,vowel_dur_ms,f0_onset_mean_hz,f0_mean_hz,f0_median_hz,f0_min_hz,f0_max_hz,f0_sd_hz,f0_1,f0_2,f0_3,f0_4,f0_5,f0_6,f0_7,f0_8,f0_9,f0_10
dill_till,dill_-100,-100,338.75,0.03,225.0,101.8,98.7,97.66,96.77,104.0,2.01,103.69,103.39,103.06,102.43,101.83,101.4,100.99,100.73,100.44,100.04
dill_till,dill_-50,-50,388.75,0.055,250.0,103.75,99.3,97.67,96.77,105.73,2.67,105.29,104.87,104.6,104.31,104.0,103.69,103.39,103.06,102.43,101.83
dill_till,dill_-20,-20,358.75,0.035,240.0,102.97,99.06,97.66,96.77,104.87,2.41,104.59,104.31,104.0,103.69,103.39,103.06,102.43,101.83,101.4,100.99
dill_till,dill_-15,-15,353.74,0.03,240.0,103.02,99.07,97.76,96.82,104.94,2.43,104.62,104.32,104.0,103.66,103.37,103.12,102.63,101.99,101.48,101.04
dill_till,dill_-10,-10,348.75,0.035,230.0,102.2,98.81,97.66,96.77,104.31,2.15,104.0,103.69,103.39,103.06,102.43,101.83,101.4,100.99,100.73,100.44
dill_till,dill_-5,-5,343.76,0.035,225.0,101.85,98.71,97.68,96.82,104.0,2.03,103.66,103.38,103.12,102.63,101.99,101.48,101.04,100.69,100.39,100.06
dill_till,dill_0,0,338.75,0.03,225.0,101.8,98.7,97.66,96.77,104.0,2.01,103.69,103.39,103.06,102.43,101.83,101.4,100.99,100.73,100.44,100.04
dill_till,dill_5,5,338.73,0.03,225.0,101.93,98.72,97.7,96.86,104.19,2.08,103.92,103.7,103.41,102.59,101.82,101.44,101.07,100.79,100.49,100.07
dill_till,dill_10,10,343.11,0.035,220.0,101.87,98.73,97.71,96.9,104.36,2.08,104.08,103.58,102.97,102.43,101.91,101.54,101.24,100.79,100.26,99.88
dill_till,dill_15,15,346.44,0.03,230.0,102.98,99.04,97.78,96.89,105.31,2.48,104.98,104.6,104.24,103.89,103.42,102.72,102.13,101.72,101.28,100.79
dill_till,dill_20,20,349.82,0.035,230.0,103.0,99.02,97.7,96.86,105.45,2.51,105.08,104.71,104.43,104.15,103.38,102.61,102.08,101.54,101.19,100.83
dill_till,dill_25,25,353.15,0.03,235.0,103.77,99.28,97.73,96.9,106.28,2.79,105.93,105.43,105.08,104.8,104.24,103.54,102.94,102.39,101.91,101.48
dill_till,dill_30,30,356.51,0.035,235.0,103.89,99.29,97.72,96.78,106.51,2.85,106.12,105.73,105.33,104.89,104.36,103.75,103.0,102.36,101.93,101.46
dill_till,dill_35,35,359.84,0.035,235.0,104.55,99.49,97.72,96.77,107.1,3.11,106.66,106.22,105.82,105.42,105.11,104.8,103.94,103.08,102.52,101.95
dill_till,dill_40,40,363.2,0.03,245.0,105.31,99.57,97.73,96.9,107.06,3.22,,107.06,106.83,106.5,106.09,105.65,104.99,104.24,103.55,102.89
dill_till,dill_45,45,366.55,0.04,240.0,105.1,99.46,97.77,96.78,106.93,3.13,,106.93,106.79,106.36,105.84,105.14,104.49,103.93,103.42,103.02
dill_till,dill_50,50,369.91,0.04,240.0,105.73,99.62,97.72,96.9,107.21,3.31,,107.21,107.2,106.83,106.46,106.01,105.56,104.79,104.02,103.44
dill_till,dill_55,55,373.24,0.045,240.0,105.43,99.49,97.71,96.86,107.31,3.23,,,107.31,107.03,106.61,105.95,105.17,104.44,103.72,103.19
dill_till,dill_60,60,376.6,0.05,240.0,105.8,99.61,97.68,96.79,107.71,3.41,,107.71,107.59,107.24,106.74,105.94,105.18,104.52,103.89,103.34
dill_till,dill_65,65,379.95,0.06,230.0,105.63,99.79,97.75,96.88,108.13,3.61,108.13,107.71,107.3,106.76,106.22,105.45,104.68,103.99,103.3,102.71
dill_till,dill_70,70,383.31,0.065,230.0,105.56,99.69,97.7,96.86,107.97,3.56,107.97,107.86,107.69,107.03,106.13,105.19,104.22,103.63,103.22,102.67
dill_till,dill_75,75,386.64,0.065,235.0,105.88,99.54,97.71,96.77,107.91,3.38,,,107.91,107.7,107.06,106.35,105.46,104.71,104.21,103.65
dill_till,dill_80,80,390.0,0.07,230.0,106.26,99.89,97.73,96.76,108.19,3.78,,108.19,108.13,108.08,107.3,106.51,105.54,104.57,104.21,103.84
dill_till,dill_85,85,393.36,0.075,230.0,106.57,100.0,97.71,96.83,108.73,3.96,108.73,108.72,108.7,108.11,107.22,106.28,105.3,104.7,104.3,103.62
dill_till,dill_90,90,396.71,0.08,230.0,106.46,99.74,97.72,96.84,109.06,3.75,,109.06,108.8,108.04,107.22,106.32,105.55,105.07,104.48,103.63
dill_till,dill_95,95,400.05,0.09,230.0,105.77,99.58,97.7,96.87,108.71,3.63,,108.71,108.1,107.48,106.48,105.48,104.98,104.47,103.55,102.62
dill_till,dill_100,100,403.4,0.09,235.0,106.4,99.69,97.7,96.8,108.86,3.78,,108.86,108.61,108.24,107.37,106.23,105.55,105.11,104.3,103.32
dill_till,dill_105,105,406.76,0.095,230.0,106.49,99.65,97.67,96.85,108.72,3.65,,,108.72,108.41,107.47,106.67,106.18,105.6,104.84,104.05
dill_till,dill_110,110,410.11,0.1,230.0,106.98,100.03,97.75,96.88,109.47,4.1,,109.47,109.04,108.61,107.86,107.11,106.28,105.45,104.82,104.19
dill_till,dill_115,115,413.45,0.11,225.0,106.6,99.95,97.73,96.86,110.15,4.15,109.83,109.34,108.6,107.73,107.06,106.49,105.66,104.71,103.75,102.79
dill_till,dill_120,120,416.8,0.115,220.0,106.55,99.81,97.71,96.85,109.72,4.01,109.72,109.51,108.83,108.01,106.88,105.96,105.47,104.79,103.68,102.63
dill_till,dill_125,125,420.14,0.12,220.0,106.32,99.76,97.65,96.84,109.63,3.96,,109.63,108.96,108.28,107.2,106.12,105.48,104.84,103.72,102.61
dill_till,dill_130,130,423.51,0.125,215.0,106.72,99.96,97.73,96.78,110.13,4.21,110.13,109.76,109.18,108.24,107.11,106.28,105.61,104.68,103.61,102.58
din_tin,din_-100,-100,424.92,0.1,160.0,105.08,101.71,100.24,99.15,107.14,2.75,106.98,106.67,106.29,105.85,105.42,104.99,104.47,103.88,103.35,102.88
din_tin,din_-50,-50,374.92,0.05,160.0,105.07,101.71,100.24,99.15,107.05,2.74,106.91,106.65,106.29,105.86,105.42,104.99,104.47,103.88,103.35,102.87
din_tin,din_-20,-20,344.92,0.03,150.0,104.15,101.36,99.93,99.15,106.65,2.44,106.29,105.85,105.42,104.99,104.47,103.88,103.35,102.88,102.4,101.92
din_tin,din_-15,-15,339.93,0.03,145.0,103.65,101.18,99.87,99.16,106.29,2.28,105.87,105.44,105.01,104.38,103.76,103.4,103.04,102.44,101.85,101.35
din_tin,din_-10,-10,334.92,0.035,135.0,102.64,100.84,99.81,99.15,105.42,1.93,104.99,104.47,103.88,103.35,102.87,102.4,101.92,101.39,100.83,100.32
din_tin,din_-5,-5,329.93,0.03,135.0,102.64,100.83,99.85,99.16,105.44,1.93,105.01,104.38,103.76,103.4,103.04,102.44,101.85,101.35,100.86,100.3
din_tin,din_0,0,324.92,0.035,125.0,101.64,100.5,99.76,99.15,104.47,1.55,103.88,103.35,102.87,102.4,101.92,101.39,100.83,100.32,99.86,99.57
din_tin,din_5,5,325.28,0.035,125.0,101.71,100.54,99.76,99.18,104.71,1.6,104.07,103.47,102.89,102.42,102.05,101.55,100.9,100.34,99.88,99.59
din_tin,din_10,10,329.25,0.03,130.0,102.77,100.93,99.88,99.06,105.82,2.05,105.37,104.71,104.05,103.46,102.89,102.5,102.08,101.47,100.86,100.35
din_tin,din_15,15,332.61,0.035,130.0,102.39,100.76,99.9,99.15,105.75,1.99,105.07,104.51,103.97,103.35,102.69,102.12,101.56,100.86,100.1,99.68
din_tin,din_20,20,335.96,0.035,130.0,103.03,101.02,99.73,99.2,106.41,2.3,105.92,105.34,104.65,103.96,103.28,102.7,102.27,101.62,100.63,99.93
din_tin,din_25,25,339.32,0.03,140.0,104.41,101.49,99.97,99.04,107.36,2.78,107.13,106.71,106.28,105.45,104.64,103.94,103.25,102.82,102.36,101.51
din_tin,din_30,30,342.65,0.035,140.0,104.53,101.54,99.94,99.17,107.75,2.86,107.45,106.88,106.21,105.57,104.94,104.18,103.37,102.81,102.34,101.56
din_tin,din_35,35,346.01,0.03,145.0,105.97,102.06,100.32,99.15,107.94,3.1,,107.94,107.75,107.26,106.7,106.02,105.38,104.82,104.24,103.63
din_tin,din_40,40,349.37,0.035,155.0,106.24,102.06,100.3,99.08,108.17,3.17,108.17,108.14,107.77,107.38,106.78,106.17,105.37,104.59,104.21,103.79
din_tin,din_45,45,352.7,0.035,160.0,106.33,101.91,100.14,99.08,108.5,3.17,,,108.5,107.99,107.3,106.65,106.03,105.38,104.71,104.04
din_tin,din_50,50,356.05,0.04,160.0,106.71,102.1,100.31,99.08,108.91,3.36,,108.91,108.7,108.18,107.55,106.76,106.04,105.44,104.77,104.0
din_tin,din_55,55,359.41,0.045,160.0,107.04,102.27,100.09,99.18,109.4,3.53,109.4,109.36,108.76,108.16,107.59,107.01,106.12,105.25,104.67,104.09
din_tin,din_60,60,362.77,0.05,160.0,106.91,102.24,100.23,99.19,109.2,3.5,,109.2,108.76,108.16,107.68,107.25,106.5,105.64,104.87,104.15
din_tin,din_65,65,366.15,0.055,155.0,107.14,102.43,100.78,99.19,108.65,3.4,,,108.65,108.52,108.19,107.71,107.0,106.32,105.66,105.04
din_tin,din_70,70,369.46,0.06,155.0,107.51,102.63,100.29,99.17,109.0,3.58,,109.0,108.99,108.81,108.6,107.78,106.96,106.41,105.84,105.17
din_tin,din_75,75,372.79,0.065,150.0,107.7,102.93,100.57,99.19,109.6,3.94,109.6,109.57,109.53,109.01,108.3,107.61,106.91,106.21,105.51,104.76
din_tin,din_80,80,376.15,0.07,150.0,107.67,102.67,100.58,99.19,110.18,3.83,,110.18,109.87,109.06,108.31,107.65,106.99,106.34,105.67,104.94
din_tin,din_85,85,379.52,0.075,150.0,107.25,102.28,100.09,99.2,108.83,3.48,,,108.83,108.81,108.51,108.17,107.18,106.21,105.51,104.8
din_tin,din_90,90,382.86,0.08,150.0,107.68,102.72,100.61,99.2,110.08,3.9,,110.08,109.74,109.26,108.58,107.83,107.16,106.51,105.54,104.45
