Filename	phoneme	Duration (ms.)	corrected_vot	f0_25%_mean
dill_1	prevoicing	79.946	-79.946	107.74989152620302
dill_2	prevoicing	132.748	-132.748	96.68996830773763
dill_3	prevoicing	77.401	-77.401	99.90252213795655
dill_4	prevoicing	100.154	-100.154	100.61207963210033
dill_5	prevoicing	116.914	-116.914	104.8957803264721
till_1	vot	108.463	108.463	115.39748816532207
till_2	vot	80.408	80.408	106.71866231445968
till_3	vot	73.155	73.155	110.72834632141848
till_4	vot	77.568	77.568	108.89479484432519
till_5	vot	93.895	93.895	102.71867477235858
