Filename	phoneme	Duration (ms.)	corrected_vot	f0_25%_mean
din_1	prevoicing	92.103	-92.103	105.84975525703324
din_2	prevoicing	87.378	-87.378	98.99047110044746
din_3	prevoicing	99.171	-99.171	101.80785558089518
din_4	prevoicing	111.697	-111.697	102.43207403232512
din_5	prevoicing	131.31	-131.31	104.39758342869308
tin_1	vot	88.225	88.225	116.96050864136471
tin_2	vot	70.527	70.527	114.73119239495352
tin_3	vot	74.301	74.301	107.74558610454739
tin_4	vot	76.516	76.516	110.42593341167618
tin_5	vot	72.565	72.565	100.68246961281713
