Filename	phoneme	Duration (ms.)	corrected_vot	f0_25%_mean
dip_1	prevoicing	50.476	-50.476	105.16347346966536
dip_2	vot	42.3	42.3	99.65894806110761
dip_3	prevoicing	90.556	-90.556	99.55412995213375
dip_4	vot	33.494	33.494	99.91645097774261
dip_5	prevoicing	64.41	-64.41	102.08437029059054
tip_1	vot	102.418	102.418	120.08778016208329
tip_2	vot	115.137	115.137	106.97820421871397
tip_3	vot	84.439	84.439	105.43056584799812
tip_4	vot	76.704	76.704	109.57683114994707
tip_5	vot	91.232	91.232	101.3587831920249
